Video_ID,Title,Uploader,Duration_Sec,Views,Tags,Lyrics,Emotion_Label
Blk1GXDM7gA,Tiếng Chày Trên Sóc Bom Bo | HKT | Official MV,POPS MUSIC,283,24654847,"Ca Khuc, Ca Khuc Nhac Tre Hay Nhat 2015, HKT, Lien Khuc Nhac Tre 2015, Nhac, Nhac Hay Nhat, Nhac Hot Nhat, Nhac Lang Man, Nhac Moi Nhat, Nhac Nghe Nhieu Nhat, Nhac Remix, Nhac That Tinh, Nhac Tinh Yeu, Nhac Tinh Yeu 2015, Nhac Tre, Nhac Tre Hot Nhat 2015, Nhac Tre Moi Nh",Không có lời bài hát (Sub),
CsCgX0Cm44g,2323 - NGHIÊM TỔNG prod. MAI CẢNH DỊ & ĐẠI TRƯỢNG FU,MCK // Nger,173,24626942,"rpt mck, mck, nger, MCK, RPT MCK, 2323, 2323 mck, đánh đổi, mck 2323, mck mới nhất, tháp drill tự do, đánh đổi karaoke, obito, tại vì sao, mộng yu, nhạc rap mck, mck rap, rap viet, nhac rap moi nhat, mck 2323 official, mck nger","Cứ quên anh vậy đi | Nhạt nhoà sương tan, ái ân, mây trôi buồn | Những môi hôn chìm sâu | Còn đâu nụ cười thơ ngây đó? | Cứ xa anh vậy đi | Đường mòn xưa kia dẫn lối đôi chân lẻ loi, | oh-oh, oh-oh-oh-oh | Anh lẻ loi | Mưa rơi nhẹ rơi, mưa đừng mang hoàng hôn xua tan bóng em | Chua cay nào hay? Thương là đau, màn đêm chia hai giấc mơ | Giọt nước mắt vô tâm thờ ơ | Ngàn câu ca sao nghe hững hờ? | Em lặng im, anh lặng im | Sương gió bủa vây | Ooh-ooh-ooh, ooh-ooh-ooh-ooh | Ngày tháng êm ấm vụt mất | Ai đó mang em đi rồi giấu chôn những hoài mong | Ở phía trước mong em bình yên phía sau những vụn vỡ | Cơn gió quay lưng rồi ngoái thương những chờ mong | anh đã khác em cũng khác uh hmn i kno that baby gurl | người yêu cũ của e ghen với anh vì anh flow ác baby gurl | bảo nó out ra khỏi hình luôn đi đứng vào hình chỉ làm tăng contrast | thích thì chơi đấm vào đầu mày 2 phát, 2 x 2 pap pap pap pap | trai tráng nam nhi đại trượng phu nháy mắt cul cul anh sợ đéo cái phốt ghẻ | trông em tươi tắn, ưng con ngươi lắm | trông em tươi tắn, ưng con ngươi lắm 1 chốt yêu luôn 2 chốt đẻ | mấy thằng anh em cả mấy thằng em anh, dạy anh biết đời thế nào là fair | không tin may mắn anh tin vào anh đại cát đại hung ra chùa là đốt quẻ | uh huh anh em bọn a cứ thế thôi | uh huh anh lặng im chẳng nói được đâu nào anh hóa đá anh tê rồi | uh huh anh em bọn a cứ thế thôi | bao quanh anh ngực công mông thủ | tiêu chuẩn cao chỉ đẹp không đủ | Buông đôi tay nhau ra buông đôi tay nhau ra | Mình em xin nhất trong tim này | Ai đó mang em đi rồi vấn vương những hoài mong | Ở phía trước mong em bình yên phía sau những vụn vỡ | Cơn gió quay lưng rồi ngoái thương những chờ mong",
BurYzEr9CpA,Anh Không Đòi Quà - OnlyC ft Karik | Official Music Video,AVATAR Entertainment,199,24570486,,Không có lời bài hát (Sub),
ycMYhQsifTI,Lưu Luyến Sau Chia Tay - Try92 ft. Kai06 | Official Lyrics Video,DACI Entertainment,347,24554658,"luu luyen sau chia tay, lưu luyến sau chia tay, luu luyen sau chia tay lyric, lưu luyến sau chia tay lyric, lưu luyến sau chia tay lyrics, lưu luyến sau chia tay try92, em có quen người nào chưa, em có quen nguoi nao chua sao moi toi tan ca khong thay ai don dua, em có quên người nào chưa sao mỗi tối anh chẳng thấy ai đón đưa, daci, daci entertainment, chang, chang lyrics",Không có lời bài hát (Sub),
ED_arGt3TQY,Bài Ca Chung Dzui - Da LAB x Lay's (Official Music Video),Da LAB Official,239,24351956,"da lab anhemrap, rap hip hop, Da LAB, bài ca chung vui, bai ca chung vui, bài ca, chung vui, dalab, dalab mv, nhạc dalab, dalab album, nhung bai hat cua dalab, mv dalab, dalab 2022, dalab lofi, nhạc mới nhất dalab, bài ca chung vui dalab, bai ca chung vui dalab, dalab bài ca chung vui, mv bài ca chung vui, rap, bài ca chung dui, bai ca chung dui, bài ca chung dzui, bài ca tuổi trẻ, nhạc trẻ, nhạc trẻ mới nhất, nhạc hay mới nhất, tuổi trẻ này mình cùng nhau",Không có lời bài hát (Sub),
SCUo9vYSu6g,VSTRA - Internet Love (ft. Tyronee) | Official M/V,VSTRA,219,24149308,"hnhngan, cdsl, cdsl music, hạnh ngân, hanh ngan, hanhngan, internet love, internet love hnhngan, internet, internet love lyrics, internet love video, hnhngan internet love, internet hnhngan, obito hanh ngan, hnhngan obito, hnhngan va obito, hnhngan và obito, obito, tyronee, internet love mv, internet love music video, ghosting vstra cover, ghosting vstra, như viên đường vstra demo, demo vstra như viên đường, ghosting linh ka cover",Không có lời bài hát (Sub),
BhbETPFyuaY,CÓ NGƯỜI (SOMEONE) - VŨ CÁT TƯỜNG | OFFICIAL MV,Vũ Cát Tường (VCT),282,24091708,"có người, co nguoi, Nhac Vu Cat Tuong, có người vũ cát tường, co nguoi vu cat tuong, someone vu cat tuong, inner me vu cat tuong, co nguoi inner me, có người inner me, mv có người, mv co nguoi, mv vũ cát tường, có người audio, vũ cát tường có người, vu cat tuong co nguoi, cát tường, vũ cát tường 2019, bài mới của vũ cát tường, mv, SOMEONE, SOMEONE MV, VŨ CÁT TƯỜNG MV",Chiều nay có người | Hẹn anh với nụ cười tươi | Chiều nay có người | Hẹn anh với nụ cười tươi | Chiều nay có người | Dạy anh cách làm mặt vui | Dường như anh cũng đã quen rồi | Ngày và đêm chỉ công việc thôi | Người chợt đến như ánh mặt trời | Xoa dịu đi vết thương | Có người nói anh xấu thế nào | Khi nhìn anh ăn lúc chưa no | Có người nói anh khó thế nào | Khi nhìn gương mặt anh đắn đo | Có người nói anh ấm thế nào | Khi ùa đến cuộn trong cánh tay anh | Có người cho anh biết thế nào | Là dành một đời để yêu một người | Giờ một mình một trời nơi xa | Buồn vì để lại đôi ta | Vẫn cẩn thận để dành tất cả | Niềm vui niềm thương dù anh phải đi xa | Từng hạt mưa như xé mây trời | Ngồi lặng im nén lòng tả tơi | Chiều nay không còn những mong đợi | Anh chỉ thấy rối bời | Có người quen lại với một mình | Cô độc giữa thành phố lung linh | Có người xem lại những khung hình | Ngỡ mình trong hạnh phúc trắng tinh | Có người đã quên anh xấu thế nào | Khi bình yên ngủ lúc bên nhau | Có người đã quên hết kỉ niệm | Để lại một người với tiếng mưa đêm | Không một ai thêm nữa | Sẽ không thể yêu thêm nữa | Khi tất cả tan vào vầng trăng sáng | Hạnh phúc giờ biến thành những ngổn ngang | Có người nói anh xấu thế nào | Khi nhìn anh ăn lúc chưa no | Có người nói anh khó thế nào | Khi nhìn gương mặt anh đắn đo | Có người nói anh ấm thế nào | Khi ùa đến cuộn trong cánh tay anh | Có người đã quên hết kỉ niệm | Để lại một người với tiếng mưa đêm,
xPKU5WkLOqA,"CON HỨA SẼ VỀ - LÊ BẢO BÌNH | OFFICIAL MUSIC VIDEO | NHẠC XUÂN 2023 - MẸ, XUÂN NÀY CON VẪN THA HƯƠNG",Lê Bảo Bình,303,24011302,"nhac xuan 2023, nhạc xuân 2023, lê bảo bình, le bao binh, nhac tet 2023, nhạc tết 2023, tet nay con se ve, tết này con sẽ về, xuân này con về, con hua se ve, con hứa sẽ về, con hua se ve remix, con hua se ve lofi, con hua se ve karaoke, con hứa sẽ về karaoke, me xuan nay con van tha huong, mẹ xuân này con vẫn tha hương, xuân xa xứ, lk nhac xuan, lk nhac xuan 2023, le bao binh nhac xuan, me xuan nay con van tha huong tiktok, con hua se ve lyrics, con hua se ve beat","Mẹ xuân này, con vẫn tha hương. | Rời xa người thương, đến nơi phố phường. | Đời phiêu bạt, dãi nắng dầm sương. | Phận làm con, bao mùa vắng mặt | Vì mưu sinh con chưa về được | Ở nơi xứ người, mẹ ơi có hay | Người ta chúc nhau, đón tết sum vầy. | Còn con thì, lệ ướt mi cay. | Nhà ta nghèo, nên đành phải thế | Biết bao giờ mới được về đây. | Ngày xưa ! | Thuở mới nằm nôi, đến khi vào đời. | Mẹ ru những tiếng ru hời. | Bố ngồi kể chuyện sao rơi | Ngày vào xuân, pháo nổ rợp trời. | Mẹ xứ người, bọn con mến nhau | Vài câu chuyện nặng trĩu cơn đau | Thằng không cha, đứa vừa mất mẹ | Ôi sao lòng nguội lạnh tái tê | Mẹ xuân sau! Con hứa con về. | Ở nơi xứ người, mẹ ơi có hay | Người ta chúc nhau, đón tết sum vầy. | Còn con thì, lệ ướt mi cay. | Nhà ta nghèo, nên đành phải thế | Biết bao giờ mới được về đây. | Ngày xưa ! | Thuở mới nằm nôi, đến khi vào đời. | Mẹ ru những tiếng ru hời. | Bố ngồi kể chuyện sao rơi | Ngày vào xuân, pháo nổ rợp trời. | Mẹ xứ người, bọn con mến nhau | Vài câu chuyện nặng trĩu cơn đau | Thằng không cha, đứa vừa mất mẹ | Ôi sao lòng nguội lạnh tái tê | Mẹ xuân sau! Con hứa con về. | Thằng không cha, đứa vừa mất mẹ | Ôi sao lòng nguội lạnh tái tê | Mẹ xuân sau! | Con hứa con về.",
AdfSLq7XNoI,MIN - TÌM (LOST) (ft. MR.A) M/V,ST.319 Entertainment,273,23946643,"st.319, st319, st.319 dance, st319 dance, dance cover, kpop dance cover, 9x, kpop dance cover group, st.319 dance from vietnam, st319 dance from vietnam, vietnam, viet nam, việt nam, Việt Nam, min, tìm, tim, lost, vpop, hot, 2013, christmas, xmas, m1, K-pop (Musical Genre), mv, official, full",Không có lời bài hát (Sub),
2DuthnSIeYY,BÍCH PHƯƠNG - Nói Thương Nhau Thì Đừng Làm Trái Tim Em Đau [Official M/V],BÍCH PHƯƠNG,295,23868299,"bích phương, bich phuong, nói thương nhau thì đừng làm trái tim em đau, noi thuong nhau thi dung lam trai tim em dau, mv bích phương, NTNTDLTTED, 1989sPRODUCTION, bich phuong officical, bích phương 2017, BÍCH PHƯƠNG Nói Thương Nhau Thì Đừng Làm Trái Tim Em Đau, bich phuong noi thuong nhau thi dung lam trai tim em dau, nói thương nhau, nói thương nhau bích phương, noi thuong nhau bich phuong, DươngK, Phạm Thanh Hà, Thác Bản Giốc, Cao Bằng, noi thuong nhau, bích phương official mv",Hát lời rằng em đang thầm nhớ | Giữa trời gửi cùng theo làn gió đến anh | Chỉ cần nghĩ về nhau | Về những tháng ngày sau | Là em vui ở trong lòng rất lâu | Chỉ cần biết ngày mai | Mình chung vai kề vai | Ta hãy cứ yêu mãi và thương mãi | Có thương nhau thì mới hiểu cho nhau mà | Đến bên anh em mong được chở che anh à | Và tình yêu trên đầu môi | Sợ là cuộc tình ko thành đôi đâu anh | Nói thương nhau thì đừng làm trái tim em đau | Nói thương nhau thì... | ... thì đừng làm trái tim em đau | Nói thương nhau thì... | ... thì đừng làm trái tim em đau | Chỉ cần nghĩ về nhau | Về những tháng ngày sau | Là em vui ở trong lòng rất lâu | Chỉ cần biết ngày mai | Mình chung vai kề vai | Ta hãy cứ yêu mãi và thương mãi | Có thương nhau thì mới hiểu cho nhau mà | Đến bên anh em mong được chở che anh à | Và tình yêu trên đầu môi | Sợ là cuộc tình ko thành đôi đâu anh | Nói thương nhau thì đừng làm trái tim em đau | Nói thương nhau thì... | ... thì đừng làm trái tim em đau | Nói thương nhau thì... | ... thì đừng làm trái tim em đau | Nói thương nhau thì đừng làm trái tim em đau,
