Video_ID,Title,Uploader,Duration_Sec,Views,Tags,Lyrics,Emotion_Label
QN1UbY3S_SM,Cuối Cùng Thì - Jack - J97 x Quanvrox「Lofi Ver.」/ Official Lyrics Video,Quanvrox Music,228,2068082,"Lofi, Lofi chill, Quanvrox, Quanvrox lofi, Quanvrox chill, Quanvrox official, Quanvrox lofi chill, music, quanvrox, quanvrox lofi, quanvrox music, quanvrox official, Lofi việt nam, Lofi việt nam hay, Lofi việt nam hay nhất, Lofi tiktok, 1967, 1 9 6 7, nhạc chill, Lofi ver, j97, jack-j97, cuối cùng thì jack, cuối cùng thì jack - j97, Lofi việt, Lofi slowed, slowed chill, slowed hay, Tiktok, Tiktok trend",Không có lời bài hát (Sub),
L8X7HpznyBU,"Lớn Rồi Còn Khóc Nhè - Team Diệu Nhi, Lynk Lee, Hương Ly, Thái Trinh, Huyền Baby | Công Diễn 2",YEAH1 MUSIC,310,2067418,"chị đẹp đạp gió rẽ sóng, chị đẹp đạp gió rẽ sóng 2023, chị đẹp, chị đẹp 2023, chi dep dap gio re song, đạp gió rẽ sóng 2023, công diễn 2, chị đẹp công diễn 2, công diễn 2 chị đẹp, lớn rồi còn khóc nhè, lon roi con khoc nhe, team diệu nhi lớn rồi còn khóc nhè, lớn rồi còn khóc nhè team diệu nhi, team diệu nhi công diễn 2, diệu nhi, dieu nhi, lynk lee, thái trinh, huyền baby, hương ly, team dieu nhi, team dieu nhi cong dien 2, lớn rồi còn khóc nhè chị đẹp",Không có lời bài hát (Sub),
43XdrvzmSj0,"IT'S GON' BE ALRIGHT - Negav ft. Văn Mai Hương | Anh Trai ""Say Hi"" 2025 [Performance]",Vie Channel - MUSIC,272,2065849,"music vie channel, anh trai say hi, Anh Trai Say Hi, anh trai say hi 2025, anh trai say hi mùa 2, Anh Trai Say Hi 2025, anh trai say hi tập 12, chung kết anh trai say hi 2025, chung kết anh trai say hi, it gonna be alright, it's gonna be alright, it’s gonna be alright negav, it's gonna be alright negav văn mai hương, it's gonna be alright performance, it's gonna be alright negav performance, negav, negav solo anh trai say hi, negav ft văn mai hương, negav its gonna be alright",Không có lời bài hát (Sub),
xTdg-SRZCQo,Khúc Ca Vàng - Mikelodic - Team Thái VG | Rap Việt 2023 [MV Lyrics],Vie Channel - MUSIC,253,2061473,"htv2, vie channel, music vie channel, vie giai tri, rapper, karik, underground, wowy, rap battle, the rapper, rapper việt, việt rap, mua 3 rap viet, team karik, rap việt mùa 3, mùa 3, casting rap việt mùa 3, bray, bray rap viet mua 3, rap việt comeback, rap việt trở lại, casting mùa 3 rap việt, suboi, justatee, big daddy, thái vg, andree, andree right hand, dj wukong, thái việt g, tvg, rap việt full, rap việt tập 12, tập 12 rap việt, rap việt mùa 3 tập 12, tập 12 rap việt mùa 3",Không có lời bài hát (Sub),
XSO42WZfdN8,Lyric Video | đứa nào làm em buồn? - Phúc Du ft. Hoàng Dũng,PHÚC DU,257,2058531,"phúc du, 1989s Entertainment, phuc du, phúc du rap, phúc du mv, phúc du 1989s, đứa nào làm em buồn phúc du, phúc du độ mixi, phúc du 2022, đứa nào làm em buồn, dua nao lam em buon, dua nao lam em buon phuc du, đứa nào làm em buồn rap, mv đứa nào làm em buồn phúc du, phuc du dua nao lam em buon, đứa nào làm em buồn lyrics, rap, rap việt, hoàng dũng, hoang dung, đứa nào làm em buồn lofi, phúc du hoàng dũng, đứa nào làm em buồn hoàng dũng, dnleb, đứa nào làm em buồn remix",Không có lời bài hát (Sub),
v-q1zFZR-wY,WREN EVANS - Tình Yêu Vĩ Mô | LOI CHOI The First Album (ft. itsnk),Wren Evans Official,184,2053501,"wren evans, wren evan, album loi choi, first album loi choi, loi choi, loichoi, wren evans loichoi, loichoi wren evans, album wren evans, nhạc wren evans, wren evans mv, wren evans album, wren evans live, wren evans live 1900, nhạc việt mới, mv mới, official music video, music video, trending, popular viet nam, music trending, wren, playlist wren evans, tình yêu vĩ mô lyric, tình yêu vĩ mô wren evans, tinh yeu vi mo wren, wren tinh yeu vi mo, tinh yeu, tình yêu, vĩ mô",Đã khuya rồi | Mà sao anh vẫn còn nhớ em | Đã khuya rồi | Có ông trăng ngồi với anh | Đã khuya rồi | Mà sao anh vẫn còn nhớ em | Tình yêu trao cho em | Cho em | Luôn luôn là vĩ mô | Giờ đây | Chẳng có nổi nước mắt trong anh để rơi | Mình đã xa nhau vào cuối thu em lặng đi | Thật ra | Còn sót lại một thoáng đôi ta ở đây | Lời nói khi xưa còn vấn vương anh đậm sâu | Người chọn quên hết bao lần hứa bao lần mất xong bù đắp cho | một cuộc tình mà em chưa một lần thay đổi | Oh | Sao anh cứ đâm vào | Rồi ôm đắng cay em à | Vậy thì tình yêu anh cho đi để làm gì? | Nếu người nhận được chẳng thèm dùng mà còn cất đi | Có ông trăng luôn hỏi thăm vỗ về anh | Anh đã đánh mất | Những ước ao đã vỡ tan | Không ôm đàn | Đổi lại thời gian ở bên em | Dù chỉ là tình xưa | Mình anh | Luôn nhớ | Một Tình yêu vĩ mô | Đã khuya rồi | Mà sao anh vẫn còn nhớ em | Đã khuya rồi | Có ông trăng ngồi với anh | Da da da đã khuya rồi | Mà sao anh vẫn còn nhớ em | Tình yêu trao cho em | Cho em | Luôn luôn là vĩ mô,
epBL9Mbq_sU,"TINLE, ​⁠APJ - 12H03 (Official MV)",SpaceSpeakers Label,218,2052131,"R&b, Spacespeakers, Spacespeakers label, Music video, Rap việt, Apj, Tinle, 12h03, 12:03, 12h3, 12:3, 12g3, 12g03, 12h30, 12:30, 12g30, gió lung lay bàn tay nâng cánh hoa tình, gió lung lay cành cây nó rớt vô đầu, gió lung lay, Kicm, jack j97, Ss label, 55 radar, Apj gió lung lay, Apj 12h03, Apj tinle, Apj kicm, Apj spacespeakers, Tinle apj, Tinle producer, Tinle 12h03, Tinle spacespeakers, 12h03 apj, 12h03 tinle, 12h03 mv, 12h3 apj, 12h3 tinle, nhạc trẻ 2024, nhạc chill 2024","🎹 | Xóa hết nước mắt đi em ơi | Đâu còn cho nhau đôi lời | Ghì chặt từng ngón tay, từng ngón tay buông lơi | Nếu nói dối trái tim không yêu | Cũng là do yêu quá nhiều | Giờ thì nói hết ra, nói hết ra ngay thôi… | Chấm dứt cuốn phim anh không xem tới, buông tay xin chào | Chuyện tình ta quá quen, nay sao nhá nhem đen tối | Kí ức xác xơ không gian, em cuốn anh trôi nơi nào | Thật sự anh thấy quá mệt rồi | 12H03, làm sao chỉ mong tuần qua | Xé nát những giây phút đang trôi với anh thật là…uhh uhh | 12h03, nhìn em cò quay người ta | Quá khứ ngấm vết xước, chôn chân ở nơi gọi là “lần đầu”..uhh huhhh | Không thấy đớn đau | Không quan tâm đến nhau | Sau cơn mưa thấm lâu | Lòng này giờ chán bị làm phiền rồi mà…ahh ahhh | Chán lệ thuộc tình rồi…ohh ohhh | Chán rồi mà..ahh ahh | Yêu em, anh nát tan~ | Chấm dứt cuốn phim anh không xem tới, buông tay xin chào | Chuyện tình ta quá quen, nay sao nhá nhem đen tối | Kí ức xác xơ không gian, em cuốn anh trôi nơi nào | Thật sự anh thấy quá mệt rồi | 12H03, làm sao chỉ mong tuần qua | Xé nát những giây phút đang trôi với anh thật là…uhh uhh | 12h03, nhìn em cò quay người ta | Quá khứ ngấm vết xước, chôn chân ở nơi gọi là “lần đầu”..uhh huhhh | 12H03, làm sao chỉ mong tuần qua | Xé nát những giây phút đang trôi với anh thật là…uhh uhh | 12h03, nhìn em cò quay người ta | Quá khứ ngấm vết xước, chôn chân ở nơi gọi là “lần đầu”..uhh huhhh | Đêm nay | Đêm nay, mình chia tay em nhé | Tiếng chuông 12h đã reo | Sao trông anh ngu ngơ như | Gã khờ, | Mắt mờ, | Có ngờ | Lần đầu phải sống với những giả vờ | 12H03, làm sao chỉ mong tuần qua | Xé nát những giây phút đang trôi với anh thật là…uhh uhh | 12H03 ,nhìn em cò quay người ta | Quá khứ ngấm vết xước, chôn chân ở nơi gọi là “lần đầu”..uhh huhhh | 12H03 | Nếu đã thấy không tương lai thì đừng cố | 12H03, nhìn em cò quay người ta | Quá khứ ngấm vết xước, chôn chân ở nơi gọi là “lần đầu”..uhh huhhh | Lần đầu uhhhhooooo (X2) | 12H03 ! 12H03 ! 12H03……",
MuZaxNPHR-0,CON KỂ BA NGHE - NGUYỄN HẢI PHONG (OFFICIAL MUSIC VIDEO),NHP Entertainment,231,2051094,"nguyễn hải phong, NHP Entertainment, con kể ba nghe, con kể ba nghe teaser, ckbn, nguyen hai phong, nhạc sĩ nguyễn hải phong, nguyễn hải phong con kể ba nghe, con kể ba nghe nguyễn hải phong, nhạc về bố, nhạc về cha, nhạc về ba, nhac si nguyen hai phong, nhạc nguyễn hải phong, ba ke con nghe 2020, ba kể con nghe 2020, con kể ba nghe official mv, mv con kể ba nghe, bài hát về cha","Khi xưa con mới ra trường | Mang theo bao đam mê con đi về muôn hướng | Âu lo mẹ đứng trông theo | Ba lau khóe mắt nhăn nheo | Con nghe bao niềm tin đong đầy | Mơ tương lai rạng rỡ, ta sẽ sum vầy | Ba vẫn luôn tự hào, với đứa con ngày nào | Khoe đây, khoe đó vui sao! | Nay con thăng tiến hơn rồi | Nhưng bao năm con luôn vô tâm và có lỗi | ""Hôm qua có gió sang đông | Vai ba có bớt đau không?"" | Nay con xin gửi chút ân tình | Mong phương xa mẹ ba hạnh phúc yên bình | Con gói đem làm quà, mong sớm gửi về nhà | Thay con nâng đỡ cho ba | Con mong được bên mẹ nhiều thêm | Con mong được ba gọi từng đêm | Ôi thật nhớ nhà, thật nhớ nhà | Từ xa nhờ mẹ trông nom | Như bàn tay giúp con vỗ về chăm sóc | Con mong rằng ba mẹ khỏe vui | Thôi không còn vất vả ngược xuôi | Ôi thật nhớ nhà, thật nhớ nhà | Giờ con gửi trọn thương yêu | Gia đình ta vẫn luôn ân cần thấu hiểu | Nay con thăng tiến không ngờ | Xa mâm cơm khi xưa bên nhau lại thấy nhớ | Con mong nghe tiếng ba la | Khi vui mẹ hát ngân nga | Nơi phương xa mẹ vẫn ân cần | Mong cho ba khỏe khoắn, ba sẽ vui dần | Con sớm quay trở về | Săn sóc ba cùng mẹ | Chăm lo hiểu thấu ba nhe! | Con mong được bên mẹ nhiều thêm | Con mong được ba gọi từng đêm | Ôi thật nhớ nhà, thật nhớ nhà | Từ xa nhờ mẹ trông nom | Như bàn tay giúp con vỗ về chăm sóc | Con mong rằng ba mẹ khỏe vui | Thôi không còn vất vả ngược xuôi | Ôi thật nhớ nhà, thật nhớ nhà | Giờ con gửi trọn thương yêu | Gia đình ta vẫn luôn ân cần thấu hiểu | Nay con thăng tiến không ngờ | Xa mâm cơm khi xưa bên nhau lại thấy nhớ | Con mong nghe tiếng ba la | Khi vui mẹ hát ngân nga | Nơi phương xa mẹ vẫn ân cần | Mong cho ba khỏe khoắn ba sẽ vui dần | Con sớm quay trở về | Săn sóc ba cùng mẹ | Chăm lo hiểu thấu.... ba nhe !",
t0JN87jAPjw,Yếu Đuối - Nguyễn Hoàng Dũng (MV) - Tao Không Xa Mày (OST),Zing MP3,328,2049857,"zingmp3, zing mp3, tuyển tập nhạc hot 2016, nhạc trẻ 2016, tuyển tập nhạc hay nhất 2017, nhạc hot 2017, tuyen tap nhac tre 2017, nhactre2017, nhac tre moi nhat, nhac tre tuyen chon, Nguyễn Hoàng Dũng, Yếu Đuối",Không có lời bài hát (Sub),
HG-8nzEdVns,HURRYKNG - Window Shopper (Official MV),GERDNANG,205,2048137,"rap việt, việt rap, king of rap, hieu thu hai, hieuthuhai mv, GERDNANG mv, GERDNANG, hieuthuhai, hieuthuhai lấy cây dù, lơi đường mật, hiêu thứ hai cua, hiếu thứ hai, hiếu thứ 2, cua, nắng, bật nhạc lên, Window Shopper, window shopper, window shopper official music video, HURRYKNG, hurrykng, hieuthuhai hurrykng, window shopper hurrykng, window shopper lyric, window shopper offciail mv","(♪  ♪) | ♪ I CRIED A LOT FOR A TOY ♪ | ♪ MANG ĐỒ CHƠI LUÔN MỚI ĐEM KHOE ♪ | ♪ VUI MỪNG SAY SƯA QUÊN CẢ ĂN TRƯA | VỚI CHIẾC XE MÀU NGÓI TRÊN HÈ ♪ | ♪ USED TO BE HAPPY ♪ | ♪ MARSUPILAMI THÍCH XEM KÉ HÀNG XÓM QUÊN VỀ ♪ | ♪ CHƯA TỪNG BƯỚC VÀO TRONG NHÀ AI | VÌ CHỈ NGỒI NGẮN NGAY TRƯỚC HIÊN LỀ ♪ | ♪ CHA TAO TỪNG LÀ TÀI XẾ ♪ | ♪ NẰM TRONG XE NGÀY ĐÊM MÀI GHẾ ♪ | ♪ NGHIỆN MA TÚY VÀ ĐÁNH ĐẬP | LÀ SỞ THÍCH KHI SAY THEO LỜI BẠN CÂY KHẾ ♪ | ♪ CẦN GIA ĐÌNH, ANH EM, CÔNG TY | KHÁCH HÀNG, XÃ HỘI TÔN TRỌNG VAI VẾ ♪ | ♪ VÀO TRẠI CAI NGHIỆN ♪ | ♪ VÀO NHÀ LAO ♪ | ♪ VÀ RA ĐI VÀO MỘT NGÀY XẾ ♪ | ♪ TRONG VAI ÁC, NHƯNG MẶT KHÁC YOU’RE STILL MY DAD ♪ | ♪ NHƯNG NGƯỜI NUÔI LỚN LÊN MỘT CHIẾN BINH | LÀ MẸ TAO CHỨ KHÔNG AI KHÁC ♪ | ♪ LÚC XÂY XÁT LÀ TỪNG GIỌT DẦU XANH ♪ | ♪ BÔNG BĂNG THUỐC ĐỎ KHI MÁU LAI LÁNG ♪ | ♪ KHUYÊN THÂN TRAI TRÁNG ♪ | ♪ SAU RÁNG XÂY LÁT | MỘT CĂN NHÀ TO TRỒNG CHO CÂY MÁT ♪ | ♪ VÀ ĐƯA MẸ DẠO PHỐ TRÊN MAYBACH ♪ | ♪ NGƯỜI TA KHINH MÌNH VÌ KHÔNG TIỀN, KHÔNG ƯU TIÊN ♪ | ♪ 2 MẸ CON LAY LẮT VÀ 9 NĂM TRONG MỘT DÃY TRỌ ♪ | ♪ BỤT KHÔNG THIÊNG ♪ | ♪ VỨT CẢ TỪ NGỮ ĐẾN BẨN NHẤT XỐI VÀO MẸ TAO ♪ | ♪ LOÀI KHÔNG TIM ♪ | ♪ TAO LÀ THẰNG NHÓC ĐÃ NHÌN GIA ĐÌNH MÀY ♪ | ♪ QUA KHUNG CỬA SỔ NGOÀI CÔNG VIÊN ♪ | ♪ AND I WISH ♪ | ♪ I WAS A WINDOW DESIRE ♪ | ♪ I WISH TO BE A HAPPY LIFE ♪ | ♪ USED TO BE A WINDOW SHOPPER ♪ | ♪ WAS SHOPPING IN THE PARADISE ♪ | ♪ MUA MỚI THÊM TRẦN NHÀ ♪ | ♪ MUA MỚI THÊM BÀN LÀ ♪ | ♪ MUA MỚI THÊM NHIỀU CD ♪ | ♪ MUA MỚI CHIẾC TV ♪ | ♪ MUA MỚI THÊM NHIỀU LY ♪ | ♪ MUA MỚI CHO MẸ NHÀ ♪ | ♪ MUA MỚI CHO MẸ TRÀ ♪ | ♪ MUA MỚI CHO NGƯỜI THÂN THƯƠNG ♪ | ♪ MUA MỚI QUA MẶT GƯƠNG ♪ | ♪ ĐỨNG KẾ BÊN BỜ TƯỜNG ♪ | ♪ MUA MỚI THÊM TRẦN NHÀ ♪ | ♪ MUA MỚI THÊM BÀN LÀ ♪ | ♪ MUA MỚI THÊM NHIỀU CD ♪ | ♪ MUA MỚI CHIẾC TV ♪ | ♪ MUA MỚI THÊM NHIỀU LY ♪ | ♪ MUA MỚI CHO MẸ NHÀ ♪ | ♪ MUA MỚI CHO MẸ TRÀ ♪ | ♪ MUA MỚI CHO NGƯỜI THÂN THƯƠNG ♪ | ♪ MUA MỚI QUA MẶT GƯƠNG ♪ | ♪ ĐỨNG KẾ BÊN BỜ TƯỜNG ♪ | ♪ THAT’S RIGHT! ♪ | ♪ NHIỀU LẦN TAO AO ƯỚC CD XEM HÀI TẤN BEO ♪ | ♪ SMART TV ĐỂ XEM DISNEY THAY VÌ BIBI | MỖI LẦN ĐỨNG NHEO ♪ | ♪ 1 CÁI MÁY LẠNH MỚI CÁO | ĐỂ THAY CHO CÁI QUẠT CÓC CHỤC LẦN QUẤN KEO ♪ | ♪ KHI THẤY MẸ TAO CẦM TỪNG TỜ TIỀN MỘT ♪ | ♪ NHÉT KHÔNG BAO GIỜ ĐẦY ỐNG HEO ♪ | ♪ TAO ĐÃ TỪNG GHÉT TRUNG TÂM NGOẠI NGỮ ♪ | ♪ VÌ MẸ MUỐN TAO HỌC NÊN LẠI THỬ ♪ | ♪ ĐÃ TỪNG BỊ ĐÁNH BỞI THẰNG DU CÔN | BÊN NGOÀI LỚP HỌC ĐẾN QUÊN MẶT CHỮ ♪ | ♪ TAO TỪNG CHẠY RA KHỎI GIỜ CHỦ NHIỆM ♪ | ♪ ĂN CẮP CD BÊN TRONG CỬA TIỆM ♪ | ♪ ĐÃ TỪNG LỚN LÊN TRONG CHỢ HIỆP THÀNH | NHƯNG CÂU CHỬI THỀ KHÔNG LÀ CỬA MIỆNG ♪ | ♪ GIỜ THÌ AI CŨNG THẤY TAO VUI TRÊN SOCIAL LIFE ♪ | ♪ FULL OF PHOTO, STYLE ♪ | ♪ CÓ NGƯỜI THÍCH SẼ CÓ NGƯỜI GHÉT ♪ | ♪ BUT YEAH I’M ALRIGHT ♪ | ♪ CHỈ CÓ MỘT THỨ KHÔNG AI CÓ THỂ THẤY RÕ ĐƯỢC | NGOÀI NHÌN VÀO ÁNH ĐÈN CHÍNH ♪ | ♪ LÀ QUÁ KHỨ CỦA MỘT THẰNG NHÓC ♪ | ♪ ĐÃ TỪNG MUA SẮM QUA LỚP MÀN KÍNH ♪ | ♪ THAT’S HOW I’M SHOPPING ♪ | ♪ A WINDOW SHOPPER REALLY GOTTA | HAVE NEW ITEM PERSISTENT ♪ | ♪ THAT’S HOW I’M SHOPPING ♪ | ♪ A WINDOW SHOPPER REALLY GOTTA | HAVE NEW ITEM PERSISTENT ♪ | ♪ THAT’S HOW I’M SHOPPING ♪ | ♪ A WINDOW SHOPPER REALLY GOTTA | HAVE NEW ITEM PERSISTENT ♪ | ♪ THAT’S HOW I’M SHOPPING ♪",
