Video_ID,Title,Uploader,Duration_Sec,Views,Tags,Lyrics,Emotion_Label
BwN3NiZt-PU,365DABAND - BỐNG BỐNG BANG BANG | OFFICIAL MV (TẤM CÁM: CHUYỆN CHƯA KỂ OST),Studio68,273,635351838,"Bống bống bang bang, Studio 68, phim mới, ngo thanh van, review phim, Clip Bống bống bang bang, mv bong bong bang bang 365, nhạc phim, phim hay 2020, phim, 365, phim hay, official, Studio68, phim hành động, phim chiếu rạp, phim hài, bongbongbangbang, nhảy bống bống bang bang, isaac, bống bống bang bang remix, bống bống bang bang mv 365, phim moi, tamcamost, bong bong bang bang 365, 365daband, nhạc bống bống bang bang, bong bong bang bang, bống bống bang bang karaoke","Ngày xưa xưa ơi là xưa ở một nơi đồng quê bát ngát | Nhà kia có hai chị em tên được cha đặt là Tấm Cám | Từ thuở ấu thơ Tấm đã mơ về hơi ấm tay mẹ | Sẽ có ngày tấm thân này tìm ra lối thoát về nơi ấm êm | Sinh ra trong gia đình vô tâm không thương mình | Thương thay cho thân phận đời cô Tấm | Vui chơi hay sa đà rong chơi hay la cà | Không quan tâm ai TRỜI ƠI, con Cám | Lừa Tấm lấy hết cá tôm | Một mình Cám ấp ôm chiến công về nhà | Tấm ơi chớ lo hạnh phúc sẽ đến với người thật thà | Ối a, i a i a i a i a | Bống Bống Bống Bống Bống...Bang Bang | lên ăn cơm vàng cơm bạc nhà ta | Bống Bống Bống Bống Bống...Bang Bang | chớ ăn cơm hẩm cháo hoa nhà người. | Bống Bống Bống Bống Bống...Bang Bang | lên ăn cơm vàng cơm bạc nhà ta | Bống Bống Bống Bống Bống...Bang Bang | chớ ăn cơm hẩm cháo hoa nhà người. | Ngày xưa xưa ơi là xưa ở một nơi đồng quê bát ngát | Nhà kia có hai chị em tên được cha đặt là Tấm Cám | Từ thuở ấu thơ Tấm đã mơ về hơi ấm tay mẹ | Sẽ có ngày tấm thân này tìm ra lối thoát về nơi ấm êm | Sinh ra trong gia đình vô tâm không thương mình | Thương thay cho thân phận đời cô Tấm | Vui chơi hay sa đà rong chơi hay la cà | Không quan tâm ai TRỜI ƠI con Cám | Lừa Tấm lấy hết cá tôm | Một mình Cám ấp ôm chiến công về nhà | Tấm ơi chớ lo hạnh phúc sẽ đến với người thật thà | Ối a, i a i a i a i a | Bống Bống Bống Bống Bống...Bang Bang | lên ăn cơm vàng cơm bạc nhà ta | Bống Bống Bống Bống Bống...Bang Bang | chớ ăn cơm hẩm cháo hoa nhà người. | Bống Bống Bống Bống Bống...Bang Bang | lên ăn cơm vàng cơm bạc nhà ta | Bống Bống Bống Bống Bống...Bang Bang | chớ ăn cơm hẩm cháo hoa nhà người. | Bống Bống Bống Bống Bống...Bang Bang | lên ăn cơm vàng cơm bạc nhà ta | Bống Bống Bống Bống Bống...Bang Bang | chớ ăn cơm hẩm cháo hoa nhà người. | Bống Bống Bống Bống Bống...Bang Bang | lên ăn cơm vàng cơm bạc nhà ta | Bống Bống Bống Bống Bống...Bang Bang | chớ ăn cơm hẩm cháo hoa nhà người.",
j8U06veqxdU,SÓNG GIÓ | ICM x JACK | OFFICIAL MUSIC VIDEO,ICM Entertainment,350,470862925,"song gio, sóng gió, jack, k-icm, song gio jack, sóng gió jack, song gio mv, song gio khanh icm, sóng gió mv, k-icm jack, sóng gió reaction, sóng gió cover, sóng gió lyrics, music, bac phan, hong nhan, K-ICM Official","Hồng trần trên đôi cánh tay | hoạ đời em trong phút giây | từ ngày thơ ấy còn ngủ mơ đến khi em thờ ơ ờ | Lòng người ai đâu có hay | một ngày khi vỗ cánh bay | từ người yêu hoá thành người dưng đến khi ta tự xưng à | thương em bờ vai nhỏ nhoi đôi mắt hoá mây đêm | thương sao mùi dạ lí hương vương vấn mãi bên thềm | đời phiêu du cố tìm 1 người thật lòng | dẫu trời mênh mông anh nhớ em | Chim kia về vẫn có đôi sao chẳng số phu thê | em ơi đừng xa cách tôi trăng cố níu em về | bình yên trên mái nhà nhìn đời ngược dòng , | em còn bên anh có phải không? | Trời ban ánh sáng năm tháng tư bề dáng ai về chung lối | người mang tia nắng nhưng cớ sao còn tăm tối | một mai em lỡ vấp ngã trên đời thay đổi | nhìn về anh , người chẳng khiến em lẻ loi | Oh! … nếu em có về , anh sẽ mang hết những suy tư | mang hết hành trang những ngày sống khổ để cho gió biển di cư | anh thà lênh đênh không có ngày về hoá kiếp thân trai như Thuỷ Hử | chẳng đành để em từ một cô gái sóng gió vây quanh thành quỷ dữ | ta tự đẩy mình , hay tự ta trói bây giờ có khác gì đâu | ta chả bận lòng , hay chẳng thể nói tụi mình có khác gì nhau | yêu sao cánh điệp phủ mờ nét bút dẫu người chẳng hẹn đến về sau | phố thị đèn màu ta chỉ cần chung lối để rồi sống chết cũng vì nhau | Nhăt một nhành hoa rơi , đoạn đường về nhà thật buồn em ơi | dòng người vội vàng giờ này tình ơi tình ơi tình ơi em ở đâu rồi | Lặng nhìn bờ vai xưa | tựa đầu mình hỏi rằng khổ chưa | đành lòng chặn đường giờ đừng đi đừng đi vì câu hứa | Trời ban ánh sáng năm tháng tư bề dáng ai về chung lối | người mang tia nắng nhưng cớ sao còn tăm tối | một mai em lỡ vấp ngã trên đời thay đổi | nhìn về anh , người chẳng khiến em lẻ loi | Ngày buồn giờ áo ai khâu vá quàng rồi | lặng nhìn dòng nước con sông phút bồi hồi | 1 lần này hỡi em ơi ở lại đi | vạn trùng cơn đau | ngoài kia chỉ là bão tố | Trời ban ánh sáng năm tháng tư bề dáng ai về chung lối | người mang tia nắng nhưng cớ sao còn tăm tối | một mai em lỡ vấp ngã trên đời thay đổi | nhìn về anh , người chẳng khiến em lẻ loi | người thì vẫn đây, người thì cách vạn dậm ngàn mây, không say không về | rượu nào mà chả đắng , đoạn đường dài giờ này quạnh vắng ai buông câu thề | chỉ còn lại nỗi nhớ , ngày nào chuyện tình mình vụn vỡ tơ duyên lỡ làng | lùi lại về đằng xa , cuộc đời mình chẳng bằng người ta , tiếng lòng thở than | Trời ban ánh sáng năm tháng tư bề dáng ai về chung lối | người mang tia nắng nhưng cớ sao còn tăm tối | một mai em lỡ vấp ngã trên đời thay đổi | nhìn về anh , người chẳng khiến em lẻ loi | người thì vẫn đây, người thì cách vạn dậm ngàn mây , không say không về | rượu nào mà chả đằng , đoạn đường dài giờ này quạnh vắng ai buông câu thề | chỉ còn lại nỗi nhớ , ngày nào chuyện tình mình vụn vỡ tơ duyên lỡ làng | lùi lại về đằng xa , cuộc đời mình chẳng bằng người ta , tiếng lòng thở than...",
FN7ALfpGxiI,NƠI NÀY CÓ ANH | OFFICIAL MUSIC VIDEO | SƠN TÙNG M-TP,Sơn Tùng M-TP Official,278,435873240,"son tung, sơn tùng, sơn tùng 2016, m-tp, son tung m-tp, noi nay co anh, nơi này có em MV, nơi này có anh, noi nay co anh mv, noi nay co anh son tung mtp, nơi này có anh sơn tùng, noi nay co anh son tung, mv noi này có anh, mv nơi này có anh, nơi này có anh official, noi nay co anh official",Em là ai | từ đâu bước đến nơi đây dịu dàng chân phương | Em là ai | tựa như ánh nắng ban mai ngọt ngào trong sương | Ngắm em thật lâu | con tim anh yếu mềm | Đắm say từ phút đó | từng giây trôi yêu thêm! | Bao ngày qua | bình minh đánh thức xua tan bộn bề nơi anh | Bao ngày qua | niềm thương nỗi nhớ bay theo bầu trời trong xanh | Liếc đôi hàng mi mong manh anh thẫn thờ | Muốn hôn nhẹ mái tóc | bờ môi em anh mơ!!! | Cầm tay anh dựa vai anh kề bên anh nơi này có anh | Gió mang câu tình ca | Ngàn ánh sao vụt qua | Nhẹ ôm lấy em | (Yêu em thương em con tim anh chân thành) | Cầm tay anh dựa vai anh kề bên anh nơi này có anh | Khép đôi mi thật lâu | Nguyện mãi bên cạnh nhau | Yêu say đắm như ngày đầu! | Mùa xuân đến bình yên cho anh những giấc mơ | Hạ lưu giữ ngày mưa ngọt ngào nên thơ | Mùa thu lá vàng rơi đông sang anh nhớ em | Tình yêu bé nhỏ | xin dành tặng riêng em! | Còn đó tiếng nói ấy bên tai vấn vương bao ngày qua | Ánh mắt bối rối nhớ thương bao ngày qua | Yêu em anh thẫn thờ | Con tim bâng khuâng đâu có ngờ | Chẳng bao giờ phải mong chờ | Đợi ai trong chiều hoàng hôn mờ | Đắm chìm hoà vào vần thơ | Ngắm nhìn khờ dại mộng mơ | Đừng bước vội vàng rồi làm ngơ | Lạnh lùng đó làm bộ dạng thờ ơ | Nhìn anh đi em nha | Hướng nụ cười cho riêng anh nha | Đơn giản là yêu con tim anh lên tiếng thôi! | Cầm tay anh dựa vai anh kề bên anh nơi này có anh | Gió mang câu tình ca | Ngàn ánh sao vụt qua | Nhẹ ôm lấy em | (Yêu em thương em con tim anh chân thành) | Cầm tay anh dựa vai anh kề bên anh nơi này có anh | Khép đôi mi thật lâu | Nguyện mãi bên cạnh nhau | Yêu say đắm như ngày đầu! | Mùa xuân đến bình yên cho anh những giấc mơ | Hạ lưu giữ ngày mưa ngọt ngào nên thơ | Mùa thu lá vàng rơi đông sang anh nhớ em | Tình yêu bé nhỏ | xin dành tặng riêng em | Uhhhhhhhh... | Nhớ thương em | Uhhhhhhhh ... | Nhớ thương em lắm | Ahhhhhhh | Phía sau chân trời | có ai băng qua lối về cùng em đi trên đoạn đường dài | Cầm tay anh dựa vai anh kề bên anh nơi này có anh | Gió mang câu tình ca | Ngàn ánh sao vụt qua | Nhẹ ôm lấy em | (Yêu em thương em con tim anh chân thành) | Cầm tay anh dựa vai anh kề bên anh nơi này có anh | Khép đôi mi thật lâu | Nguyện mãi bên cạnh nhau | Yêu say đắm như ngày đầu! | Mùa xuân đến bình yên cho anh những giấc mơ | Hạ lưu giữ ngày mưa ngọt ngào nên thơ | Mùa thu lá vàng rơi đông sang anh nhớ em | Tình yêu bé nhỏ | xin dành tặng riêng em!,
WX7dUj14Z00,BẠC PHẬN | ICM x JACK | OFFICIAL MV,ICM Entertainment,256,429178428,"bac phan, bạc phận, bac phan jack, bạc phận jack, bac phan k-icm, bac phan jack k-icm, bac phan mv, bạc phận mv, hồng nhan, hong nhan bac phan, bac phan lyrics, bac phan reaction, bac phan remix, bac phan 1h, jack, k-icm, jack mv, jack live, Masew, INCUOMMOS, nhạc, nhac tre, nhac remix, K-ICM Official",Không có lời bài hát (Sub),
cBClD7jylos,EM GÌ ƠI | ICM x JACK | OFFICIAL MUSIC VIDEO,ICM Entertainment,287,375112909,"em gi oi, em gì ơi, emgioi, ego, jack, k-icm, Vietnam toi, Việt Nam Tôi, em gi oi jack, em gi oi cover",Không có lời bài hát (Sub),
8x2NjwwHUbQ,JACK - HỒNG NHAN [OFFICIAL MV] | G5R,G5R SQUAD Official,195,305440907,"JACK HÔNG NHAN, hồng nhan, hồng, nhan, jack g5, jack g5r, jack rap, jack, jack ben tre, jack bến tre, mv hong nhan, mv hồng nhan, mv hong nhan jack, hồng nhan jack, underground rap, bộ đội hát, bộ đội 2019, bộ đội rap, g5r, g5tv, g5tv studio","♪Dòng thư tay em gửi trao anh ngày nào ♪ | ♪giờ còn lại hư vô em gửi anh đây lời chào!  ♪ | ♪Mà nhìn người đi vội  ♪ | ♪mình làm gì nên tội  ♪ | ♪tại sao lại cách xa , còn yêu như thế mà ♪ | ♪Để lệ hoen mi khi mùa xuân đang thầm thì ♪ | ♪nhìn người mà ra đi anh chẳng níu kéo điều gì ♪ | ♪Mà nghe đáng thương ♪ | ♪nhìn nhau như cố hương ♪ | ♪tìm em ở bốn phương ♪ | ♪vì say nên vấn vương! ♪ | ♪Em ơi vô tình chuyện tình mình gặp không may ♪ | ♪Em xa nơi này để giọt lệ ở bên đây ♪ | ♪Bầu trời giờ hắt hiu , nhìn về nơi đó đây ♪ | ♪Ngoài trời thì cỏ mây , chỉ còn lại là đắng cay ♪ | ♪Thương cha thương mẹ để đành lòng mà quay lưng ♪ | ♪25 âm lịch nhìn người cười mà rưng rưng ♪ | ♪Kìa kìa là pháo hoa , rộn ràng người đến xem ♪ | ♪Họ hàng mừng kết duyên , còn phần mình là hết duyên ♪ | ♪Anh như trẻ lạc , còn tâm tối giữa rừng thông ♪ | ♪Nơi cánh chim nhỏ lạc đàn tìm bến đỗ để ngừng trông! ♪ | ♪Anh là một con đơm đóm mất ánh sáng nên xoay vòng ♪ | ♪Gieo cho anh cã một mầm sống , nhưng chẳng chịu khó vun trồng ! ♪ | ♪Vì lúc ấy ta còn trẻ nên đời bạc và mưu sinh ♪ | ♪Anh chưa học hết lớp 10 người ta gọi là lưu linh ♪ | ♪Anh gắng bó với sông nước và cảnh vật này hữu tình ♪ | ♪Còn người ta cho em áo lụa hỏi tại sao chẳn phụ mình ♪ | ♪Tình yêu ơi! Bình yên ơi! Về đây đi | để anh ôm , để gió cuốn đêm nay ai đưa về nhà ♪ | ♪Để gió hát vang lên câu tình ca ♪ | ♪Để lệ hoen mi khi mùa xuân đang thầm thì ♪ | nhìn người mà ra đi anh chẳng níu kéo điều gì ♪ | ♪Mà nghe sao đáng thương ♪ | ♪nhìn nhau như cố hương ♪ | ♪tìm em ở bốn phương , vì say nên vấn vương! ♪ | ♪Hết rồi cuối cùng, nắng thì củng đã ngã vàng ♪ | ♪bên người nhân tình, em phải thương bản thân mình ♪ | ♪Buồn lắm phải không ? | giã tràng lấp biển đông! ♪ | ♪Biết người củng chã trông nên thôi câu chuyện thế đã xong ♪ | ♪Nhưng nếu anh say như thế này thì ai xem ? ♪ | ♪Người ta sẽ nói anh tệ với những thứ mà em đem ♪ | ♪Vì thế nên anh phải sống như cái cách anh từng mơ ♪ | ♪Dù cho bản thân này hóa đá nhưng trái tim chẳng ngưng thở ♪ | ♪Và ba của anh là lính , má anh từng làm cán bộ ♪ | ♪Anh không cho phép mình khóc  ♪ | ♪xe có hư cũng ráng độ ♪ | ♪Đời người là kiếp lãng du | ♪anh chẳng may làm lữ khách ♪ | ♪Đi với nhau cã một hành trình ♪ | giờ có xa chẳng nỡ trách ♪ | ♪Em ước là đời của em bình yên chẳng buồn phiền như người ta ♪ | ♪Mà giờ ra đây mà xem có người đang lên kiệu hoa ♪ | ♪Và rồi sẽ tốt nhưng mà ở nơi khác chẳng còn bận lòng như ở đây ♪ | ♪ Tình yêu của anh thì có đủ mùi vị nhưng mà chẳng ngọt như ở Tây ♪ | ♪Nà na ná nà na na nà nà♪ | ♪Để lệ hoen mi khi mùa xuân đang thầm thì♪ | ♫ Nhìn người mà ra đi anh chẳng níu kéo điều gì ♫ | ♫ Mà nghe sao đáng thương, nhìn nhau như cố hương ♫ | ♫ Tìm em ở bốn phương ♫ | ♫ Vì say nên vấn vương ♫ | Cảm ơn các bạn đã luôn ủng hộ Jack và G5R Team &lt;3",
Wu8NeFXaoOc,KHÚC HÁT MỪNG SINH NHẬT - PHAN ĐINH TÙNG ( OFFICIAL VIDEO),Phan Đinh Tùng,210,305244578,"phan đình tùng, phan dinh tung, nhạc phan đình tùng, phan đình tùng karaoke, phan đình tùng live, phan đình tùng 2020, nhạc xưa phan đinh tùng, nhạc vàng phan đinh tùng, tuyển tập phan đinh tùng, phan đinh tùng remix, phan đinh tùng remix karaoke, phan đinh tùng mv, phan đinh tùng mới nhất, phan đinh tùng bài mới, khúc hát mừng sinh nhật, khuc hat mung sinh nhat, chúc mừng sinh nhật, bài hát sinh nhật, nhạc sinh nhật, khúc hát sinh nhật, sinh nhật",Không có lời bài hát (Sub),
knW7-x7Y7RE,SƠN TÙNG M-TP | HÃY TRAO CHO ANH ft. Snoop Dogg | Official MV,Sơn Tùng M-TP Official,263,304487731,"son tung, sơn tùng, son tung mtp, sơn tùng mtp, mtp entertainment, hay trao cho anh, hãy trao cho anh, give it to me, give it to me mv, give it to me son tung, hãy trao cho anh sơn tùng, hay trao cho anh son tung, hãy trao cho anh official mv, hay trao cho anh official mv, snoop dogg, madison beer, hay trao cho anh snoop dogg, give it to me snoop dogg, mtp, m-tp","Bóng ai đó nhẹ nhàng vụt qua nơi đây | Quyến rũ ngây ngất loạn nhịp làm tim mê say | Cuốn lấy áng mây theo cơn sóng xô dập dìu | Nụ cười ngọt ngào cho ta tan vào phút giây miên man quên hết con đường về eh | Chẳng thể tìm thấy lối về ehhhhh | Điệu nhạc hoà quyện trong ánh mắt đôi môi | Dẫn lối những bối rối rung động khẽ lên ngôi | Chạm nhau mang vô vàn | Đắm đuối vấn vương dâng tràn | Lấp kín chốn nhân gian | làn Gió hoá sắc hương mơ màng | Một giây ngang qua đời | Cất tiếng nói không nên lời | Ấm áp đến trao tay ngàn sao trời lòng càng thêm chơi vơi | Dịu êm không gian bừng Sáng đánh thức muôn hoa mừng | Quấn quít hát ngân nga từng Chút níu bước chân em dừng | Bao ý thơ tương tư ngẩn ngơ | Lưu dấu nơi mê cung đẹp Thẫn thờ | Hãy trao cho anh | Hãy trao cho anh thứ anh đang mong chờ | Hãy trao cho anh | Hãy mau làm điều ta muốn vào khoảnh khắc này đê | Hãy trao cho anh | Hãy trao anh trao cho anh đi những yêu thương nồng cháy | Trao anh ái ân nguyên vẹn đong đầy | Looking at my Gucci is about that time | We can smoke a blunt and pop a bottle of wine | Now get yourself together and be ready by nine | Cuz we gon’ do some things that will shatter your spine | Come one, undone, Snoop Dogg, Son Tung | Long Beach is the city that I come from | So if you want some, get some | Better enough take some, take some | Chạm nhau mang vô vàn | Đắm đuối vấn vương dâng tràn | Lấp kín chốn nhân gian | làn Gió hoá sắc hương mơ màng | Một giây ngang qua đời | Cất tiếng nói không nên lời | Ấm áp đến trao tay ngàn sao trời lòng càng thêm chơi vơi | Dịu êm không gian bừng Sáng đánh thức muôn hoa mừng | Quấn quít hát ngân nga từng Chút níu bước chân em dừng | Bao ý thơ tương tư ngẩn ngơ | Lưu dấu nơi mê cung đẹp Thẫn thờ | Hãy trao cho anh | Hãy trao cho anh thứ anh đang mong chờ | Hãy trao cho anh | Hãy mau làm điều ta muốn vào khoảnh khắc này đê | Hãy trao cho anh | Hãy trao anh trao cho anh đi những yêu thương nồng cháy | Trao anh ái ân nguyên vẹn đong đầy | Em cho ta ngắm thiên đàng vội vàng qua chốc lát | Như thanh âm chứa bao lời gọi mời trong khúc hát | Liêu xiêu ta xuyến xao rạo rực khát khao trông mong | Dịu dàng lại gần nhau hơn dang tay ôm em vào lòng | Trao đi trao hết đi đừng ngập ngừng che dấu nữa | Quên đi quên hết đi ngại ngùng lại gần thêm chút nữa | Chìm đắm giữa khung trời riêng hai ta như dần hoà quyện mắt nhắm mắt tay đan tay hồn lạc về miền trăng sao | Em cho ta ngắm thiên đàng vội vàng qua chốc lát | Như thanh âm chứa bao lời gọi mời trong khúc hát | Liêu xiêu ta xuyến xao rạo rực khát khao trông mong | Dịu dàng lại gần nhau hơn dang tay ôm em vào lòng | Trao đi trao hết đi đừng ngập ngừng che dấu nữa | Quên đi quên hết đi ngại ngùng lại gần thêm chút nữa | Chìm đắm giữa khung trời riêng hai ta như dần hoà quyện mắt nhắm mắt tay đan tay hồn lạc về miền trăng sao | Hãy trao cho anh ♪♫ | Hãy trao cho anh thứ anh đang mong chờ!",
CL13X-8o4h0,BẮC BLING (BẮC NINH) | OFFICIAL MV | HOÀ MINZY ft NS XUÂN HINH x MASEW x TUẤN CRY,Hòa Minzy,259,297220407,"hòa minzy, hoa minzy, bắc bling, bac bling, bắc bling hòa minzy, hòa minzy bắc bling, bắc ninh, bắc ninh hòa minzy, hòa minzy bắc ninh, xuân hinh, masew, tuấn cry, bắc bling teaser, bắc bling mv, bắc bling bắc ninh, bắc bling karaoke, bắc bling remix, bắc bling lyric, bacbling, bắc bling reaction, bắc bling dance, hòa minzy mới nhất, hòa minzy 2025, hòa minzy erik đức phúc, erik, đức phúc, hoa minzy playlist, mv hòa minzy, dù cho tận thế, chăm em một đời, nhạc hòa minzy","♪ Ta về ta tắm ao ta ♪ | ♪ Dù trong dù đục ao nhà vẫn hơn ♪ | ♪ Tình quê son sắt keo sơn ♪ | ♪ Hương đồng gió nội cây rơm đợi chờ ♪ | ♪ Mời bà con về Bắc Ninh em chơi nào ♪ | ♪ Bắc Ninh vốn trọng chữ tình ♪ | ♪ Nón quai thao em đợi ở sân đình ♪ | ♪ Mấy anh hai quay đầu nhìn cũng đỉnh ♪ | ♪ Các dân chơi, gọi Bắc Bling bling ♪ | ♪ Tấm lòng son sắt, ta ngân nga câu quan họ ♪ | ♪ Chào mừng về miền đất, bến nước và con đò ♪ | ♪ Tinh hoa không thể nào mất, Chất ở local ♪ | ♪ Sửa soạn áo the khăn xếp anh em cùng lên đồ. Let's go! ♪ | ♪ Lướt trên sông như là trên mây ♪ | ♪ Ngước bên đông xong rồi lại ngước bên tây ♪ | ♪ Miếng trầu này,em đã được ướp thêm say ♪ | ♪ Mang lời hứa trao duyên, bao hẹn ước đêm nay ♪ | ♪ Sáng như đêm trăng rằm hội Lim, biết em đâu mà tìm ♪ | ♪ Trót thương em đâu thể ngồi im, cầm khăn í a làm tin ♪ | ♪ Sáng như đêm trăng rằm hội Lim, biết em đâu mà tìm ♪ | ♪ Trót thương em đâu thể ngồi im, cầm khăn í a í a làm tin ♪ | ♪ Ăn một miếng trầu ♪ | ♪ Ăn vào cho đỏ ♪ | ♪ Môi mình môi ta ♪ | ♪ Ăn một miếng trầu ♪ | ♪ Bắc một chiếc cầu ♪ | ♪ Bao lời chưa ngỏ ♪ | ♪ Duyên mình duyên ta. ♪ | ♪ Mời anh về bắc ninh em chơi thăm ♪ | ♪ Lễ hội nô nức đông vui quanh năm ♪ | ♪ Qua đền Bà Chúa cầu lộc cầu tài ♪ | ♪ Sang rằm tháng 8 ung dung chơi trăng ♪ | ♪ Đua thuyền rẽ sóng trên sông Như Nguyệt ♪ | ♪ Bao sử sách địa linh nhân kiệt ♪ | ♪ Tam Phủ chốn bồng lai linh thiêng ♪ | ♪ Nương nhờ cửa thánh con xin cúi đầu ♪ | ♪ Người ơi í ơi ì a í a người ở đừng về ♪ | ♪ Để em ngày đêm ngóng trông hình bóng anh khắp bốn bề ♪ | ♪ Anh có thương thì qua chứ anh đừng hứa đừng thề ♪ | ♪ Về đây Bắc Ninh cùng em thắm nồng tình quê. ♪ | ♪ Ăn một miếng trầu ♪ | ♪ Ăn vào cho đỏ ♪ | ♪ Môi mình môi ta ♪ | ♪ Ăn một miếng trầu ♪ | ♪ Bắc một chiếc cầu ♪ | ♪ Bao lời chưa ngỏ ♪ | ♪ Duyên mình duyên ta. ♪ | ♪ Mời anh về bắc ninh em chơi thăm ♪ | ♪ Lễ hội nô nức đông vui quanh năm ♪ | ♪ Qua đền Bà Chúa cầu lộc cầu tài ♪ | ♪ Sang rằm tháng 8 ung dung chơi trăng ♪ | ♪ Đua thuyền rẽ sóng trên sông như nguyệt ♪ | ♪ Bao sử sách địa linh nhân kiệt ♪ | ♪ Tam Phủ chốn bồng lai linh thiêng ♪ | ♪ Nương nhờ cửa thánh con xin cúi đầu ♪ | ♪ Người ơi í ơi ì a í a người ở đừng về ♪ | ♪ Để em ngày đêm ngóng trông hình bóng anh khắp bốn bề ♪ | ♪ Anh có thương thì qua chứ anh đừng hứa đừng thề ♪ | ♪ Về đây Bắc Ninh cùng em thắm nồng tình quê. ♪",
HXkh7EOqcQ4,THẰNG ĐIÊN | JUSTATEE x PHƯƠNG LY | OFFICIAL MV,JustaTeeMusic,286,295983636,"thằng điên, thang dien, thằng điên mv, thang dien mv, justatee, viruss, phương ly, thằng điên justatee, thằng điên viruss, thằng điên phương ly, justatee viruss, thang dien phuong ly, thang dien justatee, thang dien viruss, justa, justatee 2018, justatee mv, justatee phương ly, justatee phuong ly, viruss phương ly, viruss phuong ly, trâm anh, justatee trâm anh, viruss mv, phương ly mv, thằng điên official mv, thằng điên justatee phương ly, thằng hấp justatee","Rồi tôi lại lang thang, | Tình yêu thì miên man | Ngày xanh cùng mây tung tăng tựa mình bên phím đàn | Nhìn em mình ngơ ngác | Lòng anh chợt hơi khác | Tình yêu này đến đúng lúc thấy ánh sáng vụt qua | Nụ cười tỏa hương nắng | Bình minh và mây trắng | Hình như đầu kêu tôi | ""Ôi thôi tình yêu đến rồi!"" | Chẳng ai phải thắc mắc | Còn tôi thì đã chắc | Nàng ơi nàng hãy đến chiếm lấy tâm hồn tôi | Mỉm cười lòng chợt bâng khuâng | Tôi chẳng biết mơ hay thật | Đợi chờ dù ngày hay đêm | Anh chỉ cần nghĩ cũng thấy vui | I'm in love | Màu nắng khuất lấp chân mây mờ xa | I'm in love | Thành phố chỉ thấy mỗi riêng mình ta | I'm in love | Tựa đầu bên tình yêu mới thiết tha | Chỉ crazy man fall in love | I'm in love | Hạnh phúc chỉ hết khi anh ngừng mơ | I'm in love | Cuộc sống vốn dĩ trôi như vần thơ | I'm in love | Ngả lưng bên cạnh cây lá xác xơ | Mờ sương đưa tay anh ôm lấy em | Dẫu biết chỉ là mơ | ""Crazy man fall in love"" | (Just, just, just) | Just, just, just | Chơi vơi nơi mà loài người nhìn anh phiêu | Như thằng điên | Ờ thì đâu ai muốn làm người bình thường khi yêu | Yêu thằng điên | Anh đang mơ màng về bầu trời đầy trăng với sao em như cô tiên | Mình ca múa như hai con điên trên đồi thảo nguyên | Là la lá | Here we are... | Em như Beyonces hát hát | Here we are... | Anh như Jay-Z đang rap | Rap về từng ngày nắng, về từng ngày gió, về từng ngày tháng có em | But i don't know who you are | Mỉm cười lòng chợt bâng khuâng tôi chẳng biết mơ hay thật | Đợi chờ dù ngày hay đêm | Anh chỉ cần nghĩ cũng thấy vui | I'm in love | Màu nắng cuốn lấp chân mây mờ xa | I'm in love | Thành phố chỉ thấy mỗi riêng mình ta | I'm in love | Tựa đầu bên tình yêu mới thiết tha | Chỉ Crazy man fall in love | I'm in love | Hạnh phúc chỉ hết khi anh ngừng mơ | I'm in love | Cuộc sống vốn dĩ trôi như vần thơ | I'm in love | Ngả lưng bên cành cây lá xác xơ | Mờ sương đưa tay anh ôm lấy em | Dẫu biết chỉ là mơ... | Wake up, I wake up | Thu sang rồi, em thấy không | Em đi rồi, anh cứ mong chờ | Wake up, and wake up | Tiếng vỡ tan cơn mê màng | Đánh thức nơi thiên đàng anh mơ... | Nơi thiên đàng anh mơ... | Nơi có em là yên bình, anh mãi như thằng si tình | Dù đôi chân anh đi mòn lối vẫn mãi không về nơi em... | I'm in love | Màu nắng cuốn lấp chân mây mờ xa | I'm in love | Thành phố chỉ thấy mỗi riêng mình ta | I'm in love | Tựa đầu bên tình yêu mới thiết tha | Chỉ Crazy man fall in love | (Chỉ Crazy man fall in love) | I'm in love | 🎼 Hạnh phúc chỉ hết khi anh ngừng mơ 🎼 | I'm in love | Cuộc sống vốn dĩ trôi như vần thơ... | I'm in love | Ngả lưng bên cành cây lá xác xơ | Mờ sương đưa tay anh ôm lấy em | Dẫu biết chỉ là mơ... | Như thằng điên | Yêu thằng điên | Bỏ quên thế giới | Mặc chiếc áo mới | Ngồi chờ em tới | Mưa | Rơi.. rơi.. rơi.. rơi.. | Bỏ quên thế giới | Mặc chiếc áo mới | Ngồi chờ em tới | Mưa | ♫ Rơi.. rơi.. rơi.. ♫ | ♫ ..Chỉ crazy man fall in love.. ♫",
