Video_ID,Title,Uploader,Duration_Sec,Views,Tags,Lyrics,Emotion_Label
pTdJ3AlLXXk,Hoá ra Tăng Duy Tân đã đưa Bích Phương về ra mắt gia đình từ trước #bichphuong #tangduytan,YAN News,186,57662,"yannews, tin tức và giải trí, tin showbiz, yantv, yan news, yan tv news, yan digital, scandal showbiz, tin tức showbiz, nghệ sĩ việt nam, tin tức việt nam, tin tức hôm nay, showbiz việt, người nổi tiếng, tin người nổi tiếng, sao việt hôm nay, sao việt giải trí, tin việt nam, tin tức online, tin tức mới nhất, tin tức 24h, showbiz, sao việt, tin tức sao việt, tăng duy tân bích phương, tăng duy tân và bích phương, tăng duy tân 2 ngày 1 đêm, bích phương em xinh say hi",Không có lời bài hát (Sub),
E2xcrFWd320,Các nghệ sĩ hào hứng đập hộp album 'dreAMEE' của AMEE,ST.319 Entertainment,322,57403,"amee, nhạc amee, amee album, amee mv, dreAMEE, the 1st full album, amee full album, amee không yêu thì yêu, yêu thì yêu không yêu thì yêu, yeu thi yeu khong yeu thi yeu, yêu thì yêu không yêu thì yêu amee, yeu thi yeu khong yeu thi yeu amee, amee st319, album amee, amee mama boy, onlyc reaction album amee, tóc tiên reaction album amee, viruss reaction album amee, nguyễn hải phong reaction album amee",Không có lời bài hát (Sub),
31bp6-kQOJY,TRẢ NỢ TÌNH XA - CHỊ ĐẸP NGỌC ÁNH (Tiết Mục Solo) | CHỊ ĐẸP ĐẠP GIÓ 2024,YEAH1 MUSIC,160,57402,"yeah1, yeah1 music, chị đẹp đạp gió rẽ sóng, chị đẹp đạp gió rẽ sóng mùa 2, chị đẹp đạp gió 2024, chị đẹp, đạp gió 2024, chị đẹp đạp gió, show chị đẹp đạp gió, show chị đẹp, chị đẹp đạp gió tập 1, tiết mục chị đẹp tập 1, ngọc ánh, chị đẹp ngọc ánh, ngoc anh, trả nợ tình xa, trả nợ tình xa ngọc ánh, ngọc ánh trả nợ tình xa, trả nợ tình xa chị đẹp đạp gió, tiết mục ngọc ánh chị đẹp đạp gió, chị đẹp ngọc ánh live, tra no tinh xa, tra no tinh xa ngoc anh",Không có lời bài hát (Sub),
Y5oh7QnSTg8,Mashup Thương Hoài Ngàn Năm & Chỉ Có Tình Yêu - Đàm Vĩnh Hưng | Official Lyrics Video 2025,Đàm Vĩnh Hưng,307,57276,"đàm vĩnh hưng, dam vinh hung, mrdam, mr đàm, damvinhhung, đàm vĩnh hưng mới nhất, dam vinh hung moi nhat, nhạc đàm vĩnh hưng, nhac dam vinh hung, chỉ có tình yêu, thương hoài ngàn năm, mashup chỉ có tình yêu thương hoài ngàn năm, chỉ có tình yêu đàm vĩnh hưng, đàm vĩnh hưng chỉ có tình yêu, thương hoài ngàn năm đàm vĩnh hưng, đàm vĩnh hưng thương hoài ngàn năm, official lyric video, official lyrics video, đàm vĩnh hưng mv, mv đàm vĩnh hưng",Không có lời bài hát (Sub),
Vx4PhIsYIEk,"Tình Nhớ (TRỊNH CÔNG SƠN) - Anh Thơ | Nhạc Trịnh Khiến Cảm Xúc Thăng Hoa, Official MV",Anh Thơ Official,309,57202,"tình nhớ trịnh công sơn, tình nhớ, nhạc trịnh công sơn, trịnh công sơn, trinh cong son, nhạc trịnh tình nhớ, tình nhớ anh thơ, anh thơ, ca sĩ anh thơ, anh thơ hát nhạc trịnh, nhạc trịnh bất hủ, nhạc trịnh hay nhất, nhạc trịnh, nhac trinh thang hoa cam xuc, anh tho, official mv, mv",Không có lời bài hát (Sub),
aRHZnDTQRqA,baby you are not alone - KAI ĐINH x AMEE x TDK | animation MV,Kai Dinh Official,278,57194,"kai dinh beat, kai dinh official, kai dinh.thuy linh, kai đinh, kai đinh bữa trưa vui vẻ, kai đinh cover, kai đinh karaoke, kai đinh live, kai đinh playlist, kai đinh sing my song, kai đinh tinh cầu cô đơn, kai đinh điều buồn nhất, kai dinh bang xep hang, kai dinh nhac hay, nhạc mới kai dinh, baby you are not alone, baby you not alone amee, baby you not alone kai dinh, baby you note alone official music video",Không có lời bài hát (Sub),
z2Gdo-nZN7M,Xuân Này Con Không Về - Quang Lê & Trọng Hải | MV Nhạc Xuân Hot Nhất Năm 2026,Quang Lê Official,273,57086,"xuân này con không về, xuan nay con khong ve, quang lê, quang le, trọng hải, xuân này con không về quang lê, xuan nay con khong ve quang le, quang lê xuân này con không về, mv xuân 2026, nhạc xuân, nhạc xuân 2026, Nhạc Xuân Hot Nhất Năm 2026, mv nhạc xuân, mv quang lê, mv, official mv, quang lê paris by night, paris by night, quang lê official",Không có lời bài hát (Sub),
S6aDxdQU6nw,GỬI MẸ & ĐOM ĐÓM -  J97 x JACK | OFFICIAL MUSIC VIDEO,PHIM HAY TV,202,57072,,Không có lời bài hát (Sub),
BloYXVgtQsg,Nghìn con nước chảy (千の滝) - The Flob but Wagakki version,DLPhanposting,244,57070,,Không có lời bài hát (Sub),
o8jztyBPOuc,Daydreams - Soobin Hoàng Sơn,SOOBIN Official,255,56983,"soobin hoàng sơn, daydreams, soobin, daydreams soobin hoang son, daydreams soobin, daydreams - soobin hoàng sơn, daydreams soobin hoang son bigdaddy, soobin hoang son, daydream, daydreams - soobin hoàng sơn ft. bigdaddy official mv, karaoke daydreams, daydreams lofi, daydreams beat, beat daydreams, daydreams bigdaddy, daydreams cover, daydreams remix, daydreams karaoke, daydreams touliber, daydreams beat chuẩn, daydreams remix beat, daydream lofi, SpacespeakersGroup",Không có lời bài hát (Sub),
