Video_ID,Title,Uploader,Duration_Sec,Views,Tags,Lyrics,Emotion_Label
RNK3bqKlAQA,"[Color Coded Lyrics]EM CHỈ LÀ - Bích Phương, Tăng Duy Tân, Muộii, Hoàng Duyên, LyHan |Em Xinh Say Hi",Vie Channel - MUSIC,344,1083036,"htv2, vie channel, music vie channel, em xinh say hi, Em Xinh ""Say Hi"", Em Xinh Say Hi, vie channel em xinh say hi, Em Xinh ""Say Hi"" 2025, em xinh say hi 2025 mới nhất, em xinh say hi tập 5, tập 5 em xinh, em xinh tập 5, em chỉ là, em chỉ là team bích phương, em chỉ là color coded lyrics, em chỉ là mv lyrics, em chi la, em chỉ là lyhan, lyhan, hoàng duyên, tăng duy tân, em chỉ là tăng duy tân, EM CHỈ LÀ, em chỉ là lyrics, lyrics em chỉ là, color coded lyrics, mv lyrics",Không có lời bài hát (Sub),
7F96lySEfmE,ZMA 2019 - TIẾT MỤC MỞ MÀN (MASHUP HIT VPOP 2019) - TRẤN THÀNH (OFFICIAL VIDEO),Zing MP3,201,1081877,"zingmp3, zing mp3",Không có lời bài hát (Sub),
bWO-YOfQ2xs,Ngọt - CHUÔNG BÁO THỨC (sáng rồi),Ngọt,248,1081645,"Ngọt, Ngot, chuông báo thức, chuong bao thuc, sáng rồi, sang roi, chuong bao thuc ngot, chuông báo thức ngọt",đêm | và những câu chuyện sẽ không bao giờ quên | của những con người thiếu ánh sáng ban ngày | những tay săn mồi về đêm | là lúc tiếng reo bánh bao bắt đầu lên | là món không ai nghĩ sẽ ăn giờ này | những thứ ta làm khi say | cùng những tri ân không bao giờ nhớ tên | và giữa tất cả những điều ấy... | bỗng có tiếng gì trong bóng tối | nhanh như ánh đèn lướt qua tôi | đó có lẽ là chuông báo thức | sáng rồi | đêm | là lúc nỗi buồn tối qua sẽ buồn thêm | là lúc nỗi vui sáng nay sẽ êm đềm | và thêm gia vị của đêm | hãy tô vào mắt em thêm màu đen | và nhớ đóng cửa phía sau khi tắt đèn... | kéo rèm | qua đêm | cùng những phu nhân không bao giờ nhớ tên | và giữa tất cả những điều ấy... | bỗng có tiếng gì trong bóng tối | nhanh như ánh đèn lướt qua tôi | đó có lẽ là chuông báo thức | sáng rồi | bỗng có tiếng người gọi tên ai | nghe như tiếng gào thét bên tai | đó có lẽ là chuông báo thức | sáng rồi... | sáng ngồi trong thinh không bao la | nghe tiếng chuông nhà thờ ngân nga | cố ngồi xem chuông đi bao xa | nhưng hóa ra hồi chuông đã đi còn xa hơn cả mặt trời đi qua chúng ta | đêm | và những câu chuyện sẽ không bao giờ quên | cùng những ân nhân không bao giờ nhớ tên | và sẽ không bao giờ,
xEtzAaKeWJ8,Hạnh Phúc Đơn Giản Lắm - Anh Quân Idol x Khắc Anh | MV Lyrics,Anh Quân Idol,294,1081284,"anh quân idol, anh quan idol, anh quân, anh quan, hạnh phúc đơn giản lắm, hanh phuc don gian lam, hạnh phúc đơn giản lắm lyrics, hanh phuc don gian lam lyrics, hạnh phúc đơn giản lắm anh quân idol, hanh phuc don gian lam anh quan idol, hạnh phúc đơn giản lắm mv lyrics, hanh phuc don gian lam mv lyrics, anh quân idol hạnh phúc đơn giản lắm, anh quan idol hanh phuc don giản lắm, anh mệt rồi, anh quân idol x khắc anh",Không có lời bài hát (Sub),
oOeBGT2mU90,tlinh - ghệ iu dấu của em ơi | OFFICIAL VISUALIZER,tlinh,205,1078494,"tlinh, ghệ iu dấu của em ơi, ghe iu dau cua em oi, ghệ iu dấu của em, ghe iu dau cua em, ghệ yêu dấu của em, ghệ iu dấu của em ơi tlinh, tlinh ghệ iu dấu của em ơi, ghệ iu dấu của em ơi remix, ghệ iu dấu của em ơi lyrics, ghệ iu dấu của em ơi karaoke, ghệ iu dấu của em ơi official visualizer, tlinh rap, tlinh mới nhất, album ái, album tlinh mới nhất, album ái tlinh, tlinh live, ái album, music video, tlinh album, tlinh music video, grey d, ngẫn thị hâm, rap việt","GHỆ IU DẤU CỦA EM ƠI 🦀❤️‍🔥 | GHỆ CÓ BIK EM CẦN GHỆ 🥺👉👈 | GHỆ CÓ MUỐN MÌNH CẶP KÈ? 😚👉👈 | OKI HĂM? 🥺👌 | YÊU KHÔNG ÉP, TUỲ TÂM 🤗 | ỐM ĐAU SẼ BỊ CHĂM 🤒👩‍🍼 | KÍ HỢP ĐỒNG MẤY TỶ NĂM ✍️📝 | GHỆ IU DẤU CỦA EM ƠI 🦀❤️‍🔥 | GHỆ IU NHẤT HỆ MẶT TRỜI 🌞🌍🪐 | GHỆ ƠI MUỐN GHỆ SANG CHƠI 😬 | GHỆ TOÀN KHIẾN EM BẬT CƯỜI 😜 | EM CÓ GHỆ VUI 🥰 | YEAH YEAH CÓ GHỆ VUI 🥰 | EM THÍCH MỖI GHỆ THUI 🥰 | GHỆ GHỆ GHỆ GHỆ GHỆ UI 🦀🦀🦀🦀🦀 | GHỆ ƠI TRÔNG GHỆ XINH CHƯA | Á-ÁO QUẦN TINH TƯƠM | TRÔNG CÁI MẶT RẤT KHÁU ĐẦY TINH KHÔN | RÌNH ĐƯỢC BÉ TXINH THƠM 😘😈 | EM NHỎ NHẮN VÀ MI NHON | VẪN CÓ GHỆ KHEN NGON | HỘT XOÀN VỚI CẢ KIM CƯƠNG | NẮM TAY GHỆ MỘT PHÁT EM QUÊN LUÔN | TÌNH IU CÁC CỤ NON | MAMA GHỆ NGHE ĐÂU ĐÃ MUỐN CÓ NỤ CON DÂU | TÌNH IU GHỆ NGÀY NGÀY CỨ BỰ HƠN | GHỆ CÓ MUỐN QUA EM QUẤN QUÍT TÍT MÙ ÔM NHAU? | LẦN NÀY EM CHẮC CHẮN SẼ CHẬM HƠN | KHÔNG MẮC LẠI LỖI, KHÔNG NGẪN THỊ HÂM | GHỆ CỨ LIỆU TỰ GIÁC VÀ CẨN THẬN | CỨ, CỨ, CỨ LIỆU 💋👻 | GHỆ IU DẤU CỦA EM ƠI 🦀❤️‍🔥 | GHỆ CÓ BIK EM CẦN GHỆ 🥺👉👈 | GHỆ CÓ MUỐN MÌNH CẶP KÈ? 😚👉👈 | OKI HĂM? 🥺👌 | YÊU KHÔNG ÉP, TUỲ TÂM 🤗 | ỐM ĐAU SẼ BỊ CHĂM 🤒👩‍🍼 | KÍ HỢP ĐỒNG MẤY TỶ NĂM ✍️📝 | GHỆ IU DẤU CỦA EM ƠI 🦀❤️‍🔥 | GHỆ IU NHẤT HỆ MẶT TRỜI 🌞🌍🪐 | GHỆ ƠI MUỐN GHỆ SANG CHƠI 😬 | GHỆ TOÀN KHIẾN EM BẬT CƯỜI 😜 | EM CÓ GHỆ VUI 🥰 | YEAH YEAH CÓ GHỆ VUI 🥰 | EM THÍCH MỖI GHỆ THUI 🥰 | GHỆ GHỆ GHỆ GHỆ GHỆ UI 🦀🦀🦀🦀🦀 | GHỆ BIẾT CÁCH YÊU EM | NHỮNG VẾT ĐAU BÊN TRONG EM, GHỆ DẦN LẤY ĐI HẾT | CẢM XÚC KHÔNG TÌ VẾT | GHỆ SO DEDICATED, GHỆ TÂM LÍ PHẢI BIẾT | VÀ CÓ VẤN ĐỀ THÌ GHỆ GIẢI QUYẾT | BẰNG TÌNH YÊU VÀ SỰ TỬ TẾ | VỚI SỰ NÂNG NIU VÀ SỰ TINH TẾ | CHƯA CÓ AI LÀM ĐƯỢC NHƯ THẾ | CHO NÊN EM SẼ | KHÔNG HƯ ĐỐN, CHÓNG CHÁN CẢ THÈM | KHÔNG ĐI TÌM LẠI SỰ HỖN LOẠN MÀ EM ĐÃ QUEN | DANH TIẾNG VÀ ĐỒNG TIỀN À, LÃNG XẸT | EM CHỈ MUỐN ĐƯỢC BÌNH YÊN VÀ ĐƯỢC Ở CẠNH GHỆ | YEAH YEAH YEAH YEAH | EM SẼ LÀM HẾT TRONG KHẢ NĂNG | CHỈ CẦN LÀ MÌNH VẪN CÓ THỜI GIAN",
x_hU9S9iQ2g,1nG - Một Mình | Prod. Terra Minor (Official MV),1nG,219,1077609,"Một Mình, Terra Minor, 1nG, 1ng, mot minh, một mình, một mình 1ng, EP Huyên Thiên, ep huyen thien, Huyên Thiên",Không có lời bài hát (Sub),
OWO3eKB_LD8,Thư Gửi Người Miền Xa - Hương Lan,Duy Huỳnh,256,1076582,,Không có lời bài hát (Sub),
rs6o__UGRsQ,HÀ TIÊN - Sáng tác: Lê Dinh | TUYỆT PHẨM TRỮ TÌNH XƯA & NAY 2 | CẨM LY,CẨM LY OFFICIAL,302,1075408,"cẩm ly, Cam Ly, Minh Vy Cam Ly, cam ly moi nhat, Camly, Cẩm Ly xưa và nay, ca sĩ cẩm ly, cẩm ly dân ca, cẩm ly trữ tình, hà tiên, ha tien cam ly, cẩm ly 2020, cam ly 2021, Nhạc miền tây, Karaoke, Karaoke cam ly, Dân ca, Trữ tình, Dan ca hay nhat, Tru tinh hay nhat, Nhạc hot, Nhạc trend, Tôi nhớ hoài một chiều dừng chân ghé qua thăm miền ước mơ, Hà Tiên mến yêu đẹp như xứ thơ xa cách tôi còn nhớ, Hà Tiên ơi! Đây miền xinh tươi như hoa gấm trong đời",Không có lời bài hát (Sub),
4b295JKoxVM,NỖI ĐAU GIỮA HÒA BÌNH (Mưa Đỏ OST) - HÒA MINZY x NGUYỄN VĂN CHUNG | OFFICIAL LYRICS VIDEO,NGUYỄN VĂN CHUNG MUSIC,319,1071804,"nỗi đau giữa hòa bình lyric hòa minzy, nỗi đau giữa hòa bình, noi dau giua hoa binh, noi dau giua hoa binh hoa minzy, nỗi đau giữa hòa binh hòa minzy, nỗi đau giữa hòa bình lyric, noi dau giua hoa binh lyric, nỗi đau giữa hòa bình audio, noi dau giua hoa binh audio, ost mưa đỏ, mưa đỏ ost, nhạc phim mưa đỏ, bài hát trong phim mưa đỏ, ca khúc trong phim mưa đỏ, lyric nỗi đau giữa hòa bình, hòa minzy x nguyễn văn chung, hòa minzy, nguyễn văn chung",Không có lời bài hát (Sub),
WXtloq9sZ2s,Một Mình (NS Thanh Tùng) | Hồng Nhung,Ngoc Blue,335,1071172,"hong nhung, thanh tung",Không có lời bài hát (Sub),
