Video_ID,Title,Uploader,Duration_Sec,Views,Tags,Lyrics,Emotion_Label
P0EbNJPbJmA,Tình ca (Hoàng Việt) - Vũ Thắng Lợi,Vũ Thắng Lợi Official (Phúc Hưng),240,555801,,Không có lời bài hát (Sub),
UXmHKtRIeJQ,Cho Dù Có Đi Nơi Đâu - Anh Thơ,Anh Thơ Official,353,555269,"co du co di noi dau, cho dù có đi nơi đâu, cho du co di noi dau anh tho, cho dù có đi nơi đâu anh thơ, anh tho, anh thơ, nhac tru tinh chon loc, nhac vang tru tinh hay, Ca Khúc Nhạc Vàng Trữ Tình, nhac vang tuyen chon hay nhat, nhac tru tinh hay nhat 2015, cho du co di noi dau karaoke, nhạc, ca khuc nhac vang bat hu",Không có lời bài hát (Sub),
Nw1fuUN8IEY,05. BINZ - RƯỢU ĐỘC (ft. TRIPLE D) | OFFICIAL LYRICS VIDEO,Binz Da Poet,186,554854,"binz, binz official, binz le, binz 2020, dan le, demo binz, Binz Da Poet, Spacespeakers, SpacespeakersGroup, SSG, Xuân Đan, Xuân đan, TripleD, Keep cầm ca, Kiếp cầm ca, Bolero, Rượu độc, Túy ca",Không có lời bài hát (Sub),
ssPrptEhedg,VÀ EM ĐÃ YÊU - Hồ Ngọc Hà,Thuy Truc,267,553535,CLIPTT,Không có lời bài hát (Sub),
iPnY0gyCSds,Nhớ Gia Đình - Lê Bảo Bình | Official Lyrics Video,Bảo Bình Media,339,553530,"nhớ gia đình, nho gia dinh, lê bảo bình, le bao binh, nhớ gia đình lê bảo bình, nho gia dinh le bao binh, nhớ gia đình lyrics, nho gia dinh lyrics, official music video, official lyric video, lyrics, video, lê bảo bình official, bảo bình media",Không có lời bài hát (Sub),
TJjvqQBqG2o,"Da LAB, Emcee L (Da LAB) - Nghe Mưa (Official Audio) ft. KraziNoyze",Da LAB Official,312,553456,"Da LAB Emcee feat. KraziNoye, Nghe Mua","Em ơi đừng nghe | Mưa rơi một mình | Em ơi gọi anh | Qua chơi cùng mình | Trời mưa buồn lắm em ơi | Trời mưa buồn lắm em à | Em ơi đừng nghe | Mưa rơi một mình | Để anh anh đạp xe | Qua chơi cùng mình | Tiếng mưa tí tách anh thì ì ạch từng vòng quay | Từng vòng xoay, chẳng ngơi tay viết tặng em vài dòng này | Đời là vòng xoáy , vì thế em hãy nắm chặt tay | Giữ chặt lấy từng cái chạm, từng chiếc hôn từng lời nhạc | Em ơi ... bao lâu rồi chưa nhờ bồ câu rủ anh qua chơi | Ghé thăm hoàng hôn rã rời | Thôi em đừng buồn , đừng sầu vì a đã tới | Đừng nghe mưa than nghe mây thở…để tai nghe tiếng lòng anh trả lời | Đời mình lắm lúc ướt nhẹp tâm tư | Lắm khi trào dâng bão táp gầm gừ | Em cứ trầm tư chẳng nói nửa lời | Anh thì lặng thinh bên khói thuốc tâm trạng nửa vời | Không gian im phắc tĩnh lặng như tờ…. | Anh nhét tay em vài dòng thư ngỏ | Mở ra em đưa mắt , má duyên chợt ửng đỏ | Một vài câu anh nhắn nhủ mong em cố nhớ cho là | Em ơi đừng nghe | Mưa rơi một mình | Em ơi gọi anh | Qua chơi cùng mình | Trời mưa buồn lắm em ơi | Trời mưa buồn lắm em à | Em ơi đừng nghe | Mưa rơi một mình | Để anh anh đạp xe | Qua chơi cùng mình | Từng vòng xe chiều nay 2 đứa | Trời mưa mình nghe với nhau | Em ơi, giờ này mưa đang rơi | Đừng đi đâu hết nhớ, để tí nữa anh sang chơi | Em đừng lo, vì anh có mang áo mưa | Hạnh phúc nào bằng giây phút thấy dáng em đón anh vào cửa | Ngoài kia trời âm u Gió vẫn đang gầm rú | Khép cửa vào cho đỡ lạnh tí 2 mình còn tâm sự | Mưa buồn, anh thầm nhủ, chắc em nhiều tâm tư | Thôi em ráng cầm cự, Anh đến ngay không chần chừ | Từng vòng xe vẫn lăn dài trên phố | cơn mưa vẫn trải lá rơi bên hồ | Ướt băng ghế đá khi xưa ta hẹn hò | Từng đôi chim nhao nhác đưa nhau tìm về tổ | Ta cũng tìm đến nhau trong bão bùng mưa gió | Cùng tận hưởng bình yên phía sau khung cửa sổ | cho đôi con tim cùng đập hòa nhịp với tiếng mưa rơi | khi nào cơn mưa dứt? rì rào mãi chưa vơi.. | Em ơi đừng nghe | Mưa rơi một mình | Em ơi gọi anh | Qua chơi cùng mình | Trời mưa buồn lắm em ơi | Trời mưa buồn lắm em à | Em ơi đừng nghe | Mưa rơi một mình | Để anh anh đạp xe | Qua chơi cùng mình | Từng vòng xe chiều nay 2 đứa | Trời mưa mình nghe với nhau | Đã từng một thói quen đứng hiên nhà em dừng xe | và ""Rhythm of the rain"" ngày đó anh thường nghe | một thời ấp ủ những nỗi niềm kiểu con trẻ | mong bắt gặp ánh mắt em qua khe cửa mở hé | rồi thời gian để lại một khoảng trống thênh thang | ta bước qua đời nhau như lữ khách đi ngang | dường như đôi ta đã, quên những gì cho nhau, làm sao được hay trách giọt nước mắt kia vừa rơi đã khô mau | chiều nay tình cờ, anh bước trên con phố | nơi mà khi ngày xưa, dưới mưa mình chung ô | ùa về trong anh là những kỷ niệm ngày xưa, chiều lại mưa | chẳng có em, chỉ có anh nhìn dòng người đông rồi lại thưa | cuộc tình xưa chia đôi, một nửa em đủ chưa? | sâu trong em, ký ức xưa, đã ngủ chưa?? | anh tưởng quên, nhưng vẫn còn, ở đâu đó trong anh | khi mưa xuống, rửa lớp bụi, lại sáng tỏ long lanh | Em ơi đừng nghe | Mưa rơi một mình | Em ơi gọi anh | Qua chơi cùng mình | Trời mưa buồn lắm em ơi | Trời mưa buồn lắm em à | Em ơi đừng nghe | Mưa rơi một mình | Để anh anh đạp xe | Qua chơi cùng mình | Từng vòng xe chiều nay 2 đứa | Trời mưa mình nghe với nhau | Em ơi đừng nghe | Mưa rơi một mình | Em ơi gọi anh | Qua chơi cùng mình | Trời mưa buồn lắm em ơi | Trời mưa buồn lắm em à | Em ơi đừng nghe | Mưa rơi một mình | Để anh anh đạp xe | Qua chơi cùng mình | Từng vòng xe chiều nay 2 đứa | Trời mưa mình nghe với nhau | Em ơi đừng nghe | Mưa rơi một mình",
RT1yp-lGjzU,MUỘN RỒI | Bản tình ca day dứt và khắc khoải | SING & SONG A.I,SING SONG MELODY,326,553121,"nhạc việt, nhạc ballad việt, nhạc tâm trạng, nhạc chill, bài hát hay, nhạc việt hay, nhạc cảm xúc, nhạc sâu lắng, nhạc việt mới, nhạc ballad trap, ca khúc buồn, bài hát cảm xúc, nhạc hay chill, nhạc yêu thương, bài hát việt hay, nhạc việt chill, nhạc việt cảm xúc, rock ballad, muộn rồi, muộn",Không có lời bài hát (Sub),
93WxvO4kAhw,Lệ Quyên - Tình Yêu Trả Lại Trăng Sao,Lệ Quyên,289,552820,"le quyen, lệ quyên, LỆ QUYÊN, le quyen official",Không có lời bài hát (Sub),
NuHQj0IgueA,"SOOBIN, Binz - BLACKJACK (Official Audio)",SOOBIN Official,197,552358,"blackjack soobin, soobin, blackjack, blackjack soobin binz, blackjack soobin remix, blackjack soobin x binz, blackjack soobin & binz, blackjack soobin hoàng sơn, blackjack mv, soobin hoang son, blackjack soobin hoang son, trò chơi soobin, soobin hoàng sơn mv, soobin soobin hoàng sơn, soobin hoàng sơn official, soobin binz, black jack binz soobin, blackjack double b, blackjack binz, soobin blackjack, blackjack binz remix, blackjack mp3, soobin binz blackjack, SpacespeakersGroup",Không có lời bài hát (Sub),
eJ1rHCYqBuo,SẦU LẺ BÓNG - DƯƠNG HỒNG LOAN | Bolero Trữ Tình Đặc Biệt 2019,Góc Trữ Tình,323,551917,"sầu lẻ bóng, sau le bong, nhac sau le bong, sầu lẻ bóng 2019, sau le bong duong hong loan, sầu lẻ bóng dương hồng loan, trữ tình sầu lẻ bóng, sầu, lẻ, bóng, 2019, dương hồng loan sầu lẻ bóng, dương hồng loan trữ tình, dương hồng loan bolero trữ tình, duong hong loan bolero tru tinh, duong hong loan bolero, dương hồng loan bolero 2019, nhạc bolero dương hồng loan, dương hồng loan mv, dương hồng loan mv 2019",Không có lời bài hát (Sub),
