Video_ID,Title,Uploader,Duration_Sec,Views,Tags,Lyrics,Emotion_Label
0JblCd0BMww,Tiễn Em Cuối Đường | Tâm tư Mạnh Quỳnh gửi đến Phi Nhung,MẠNH QUỲNH OFFICIAL,276,8561876,"mạnh quỳnh, manh quynh, phi nhung, mạnh quỳnh phi nhung, manh quynh phi nhung, phi nhung mạnh quỳnh, phi nhung manh quynh, tiễn em cuối đường, tien em cuoi duong, tiễn em cuối đường mạnh quỳnh, tien em cuoi duong manh quynh, mạnh quỳnh tiến em cuối đường, manh quynh tien em cuoi duong, tâm tư mạnh quỳnh, tam tu manh quynh, gửi phi nhung, gui phi nhung, tâm tư mạnh quỳnh gửi phi nhung, tam tu manh quynh gui phi nhung",Không có lời bài hát (Sub),
oHgwp8M_7xA,Nhu Anh Da Thay Em (CTTDE 2) - PhucXp | Lyrics Video,PHUCXP,302,8549864,"phúc xp, phuc xp, như anh đã thấy em, nhu anh da thay em, như anh đã thấy em phúc xp, nhu anh da thay em phuc xp, như anh đã thấy em lyrics, lyrics video như anh đã thấy em, như anh đã thấy em video lyric, như anh đã thấy em mv, như anh đã thấy em lofi, phúc xp như anh đã thấy em, như anh đã thấy em official, chẳng thể tìm được em 2, như anh đã thấy em freak d, MV Official, DAO Entertainment, DAO Music",Không có lời bài hát (Sub),
oQ__S6H6MtA,Mưa Đêm Tỉnh Nhỏ | Thúy Huyền - Siêu Phẩm Bolero Mùa Mưa | MV Sân Khấu Hoành Tráng,Thúy Huyền,343,8549763,"mưa đêm tỉnh nhỏ, mua dem tinh nho, mua dem tinh nho thuy huyen, mưa đêm tỉnh nhỏ thúy huyền, mưa đêm tỉnh nhỏ mv, mưa đêm tỉnh nhỏ karaoke, mưa đêm tỉnh nhỏ bolero, thúy huyền mv, thúy huyền, thuy huyen, thúy huyền mới nhất, nhạc thúy huyền, thúy huyền hay nhất, sầu nữ thúy huyền, nhạc lính thúy huyền, nhạc bolero, nhac linh, nhac linh hai ngoai, siêu phẩm bolero thúy huyền, thúy huyền official, mv sân khấu hoành tráng",Không có lời bài hát (Sub),
wEoyTo797iU,Trả Lại Cho Dân | Nhạc sĩ: Việt Khang,SBTNOfficial,261,8542499,"SBTN, tra lai cho dan, viet khang, việt khang, đan nguyên, quốc khanh, nguyên khang, trúc hồ",Không có lời bài hát (Sub),
eKkP6XJadbM,"I'LL BE THERE - Orange, Phương Mỹ Chi, Lamoon, Han Sara | Em Xinh Say Hi [Performance]",Vie Channel - MUSIC,343,8536546,"htv2, vie channel, music vie channel, em xinh say hi, Em Xinh ""Say Hi"", Em Xinh Say Hi, vie channel em xinh say hi, Em Xinh ""Say Hi"" 2025, em xinh say hi 2025 mới nhất, em xinh say hi tập 7, tập 7 em xinh, tập 7 em xinh say hi, em xinh tập 7, livestage 3 em xinh say hi, i'll be there live performance, ill be there, i'll be there performance, performance i'll be there, i'll be there orange, orange, phương mỹ chi, lamoon, han sara, i'll be there phương mỹ chi",Không có lời bài hát (Sub),
t410xiV1ivw,Cự Tuyệt | Hồ Ngọc Hà x Vương Anh Tú | Love Songs Studio Session,Ho Ngoc Ha's Official Channel,326,8483503,"ho ngoc ha, hồ ngọc hà, ca si ho ngoc ha, ca sĩ hồ ngọc hà, mv ho ngoc ha, mv hồ ngọc hà, cang truong thanh cang co don, càng trưởng thành càng cô đơn, love song, love songs, love songs 4, ho ngoc ha love songs, ho ngoc ha love songs 4, cự tuyệt, cu tuyet, cự tuyệt hồ ngọc hà, cu tuyet ho ngoc ha, vuong anh tu, vương anh tú","♪ Thật buồn khi chẳng thể thành đôi ♪ | ♪ Vì sau trước cũng vậy thôi ♪ | ♪ Hoàng hôn tắt thấy sao được lối ♪ | ♪ Em cứ bước cứ ngước nhìn thôi ♪ | ♪ Ngàn câu hỏi không thể gật lời ♪ | ♪ Sợ rằng quay đầu nước mắt lại rơi ♪ | ♪ Em ôm chặt anh, | và không muốn cách xa ♪ | ♪ Anh đẩy em ra, | chúng ta nên dừng lại em à ♪ | ♪ Em bên ai đi, và lo nghĩ tương lai ♪ | ♪ Giờ anh giữ em lại, | chính anh là người sai ♪ | ♪ Bây giờ thà đau, đừng để về sau ♪ | ♪ Khi cả hai yêu quá, mới nhận thấy là ♪ | ♪ Tháng ngày về sau, ta chịu đựng nhau ♪ | ♪ Hiểu tình yêu chúng ta chẳng phải tất cả ♪ | ♪ Cần ai đó, để em có | một tình yêu đẹp như giấc mơ ♪ | ♪ Ngày ấy em sẽ hạnh phúc hơn bây giờ ♪ | ♪ Em là người tốt, sau này mai mốt ♪ | ♪ Ắt gặp một người | thương em hơn cả anh ♪ | ♪ Một người luôn nắm chặt tay, | luôn có mặt ngay ♪ | ♪ Cuộc sống em khác xa như vậy ♪ | ♪ Nếu dừng lại đây, em sẽ tìm cách ♪ | ♪ Để mình rời xa mãi, | chẳng hề muốn quay lại ♪ | ♪ Dừng nhé anh, hãy rời bước, khi mưa tạnh ♪ | ♪ Em ôm chặt anh, | và không muốn cách xa ♪ | ♪ Anh đẩy em ra, | chúng ta nên dừng lại em à ♪ | ♪ Em bên ai đi, và lo nghĩ tương lai ♪ | ♪ Giờ anh giữ em lại, | chính anh là người sai ♪ | ♪ Bây giờ thà đau, đừng để về sau ♪ | ♪ Khi cả hai yêu quá, mới nhận thấy là ♪ | ♪ Tháng ngày về sau, ta chịu đựng nhau ♪ | ♪ Hiểu tình yêu chúng ta chẳng phải tất cả ♪ | ♪ Cần ai đó, để em có | một tình yêu đẹp như giấc mơ ♪ | ♪ Ngày ấy em sẽ hạnh phúc hơn bây giờ ♪ | ♪ Em là người tốt, sau này mai mốt ♪ | ♪ Ắt gặp một người | thương em hơn cả anh ♪ | ♪ Một người luôn nắm chặt tay, | luôn có mặt ngay ♪ | ♪ Cuộc sống em khác xa như vậy ♪ | ♪ Nếu dừng lại đây, em sẽ tìm cách ♪ | ♪ Để mình rời xa mãi, | chẳng hề muốn quay lại ♪ | ♪ Dừng nhé anh, hãy rời bước, khi mưa tạnh ♪",
kU1hllKugSY,BUỒN - VŨ DUY KHÁNH (OFFICIAL MV),Vũ Duy Khánh Tube,302,8478689,"Vũ Duy Khánh Tube, Vũ Duy Khánh, Official MV, Vu Duy Khánh MV, MV Nhạc Trẻ, Bài Hát Mới, Buồn, BUỒN, buồn, buon, vũ duy khánh 2020, vu duy khanh 2020, buồn vũ duy khánh, buon vu duy khanh, vũ duy khánh, vu duy khanh, nhạc trẻ",Không có lời bài hát (Sub),
zuBjkHOFVJs,SHE NEVER CRIES - HOÀNG DUYÊN x SƠN.K | OFFICIAL MV,DreamS Entertainment,264,8462793,"DREAMS, GIN TRAN, JSOL, MV, Nhac moi, nhac tre, xu huong, She Never Cries, SƠN.K, mạnh mẽ đúng hay sai, she never cries, she never cries hoàng duyên, hoàng duyên mới nhất, em xinh hoàng duyên, hoàng duyên em xinh say hi, hoàng duyên em xinh, she never cries official music video, she never cries official mv, she never cries sơn k, OFFICIAL MV, DREAMS ENTERTAINMENT, em xinh say hi 2025 mới nhất, she never cries lyric","Cô ta 23 đầy mộng mơ | Sâu trong ánh mắt những dại khờ | Đôi khi vô tư và làm ngơ | Không quan tâm ai đã làm gì sai | Sau lưng em là một chàng trai | Tay đan tay | ... một người khác | Trôi qua đi thêm một vài năm | Trưởng thành là điều may mắn | Đôi mi đã không còn như xưa | Chẳng còn nhòe ướt vào ngày mưa | Em không quan tâm thêm một ai | Trao bên tai | ... những lời tình yêu | And she never cries | Mạnh mẽ đúng hay sai | Chẳng cần kề bên ai | một người là mãi mãi | Người con gái trải qua bao mối tình | Dẫu đã cố yêu hết mình | Em thật quá đáng thương phải không? | And she never cries | Mạnh mẽ đúng hay sai | Phải cần bao nhiêu lâu | ... để hiểu được niềm đau? | Tự học cách biết yêu thương lấy mình | Dẫu chẳng có ai bên mình | Em thật quá đáng thương | ... phải không? | And she never cries | Khóc làm gì? Đau làm gì? | Tổn thương bao lâu nay đã quá đủ rồi | Những ngây dại, em có ngại? | Đừng nhắc cho anh ta rằng em | đã yêu, đã thương và đau | Nhiều lần khóc vì nhớ đậm sâu | Liệu giờ em đã biết yêu mình | biết chăm lo em nhiều hơn? | Chẳng cần phải tỏ vẻ là mình mạnh mẽ với ai | Điều gì chẳng thuộc về mình thì đừng cố níu lại | Vì sự thật cuộc tình nào mà chẳng có đúng sai | Từ bỏ được là điều ta vui nhất | Chẳng còn thấy những niềm đau | Chẳng còn nhớ nhung về nhau | Quang gió mây trời | Em vẽ nụ cười trên môi | And she never cries | Mạnh mẽ đúng hay sai | Chẳng cần kề bên ai, | một người là mãi mãi | Người con gái trải qua bao mối tình | Dẫu đã cố yêu hết mình | Em thật quá đáng thương phải không? | And she never cries | Mạnh mẽ đúng hay sai | Phải cần bao nhiêu lâu | để hiểu được niềm đau? | Tự học cách biết yêu thương lấy mình | Dẫu chẳng có ai bên mình | Em thật quá đáng thương | ... phải không? | And she never cries | Giọt nước mắt phôi phai | Một ngày em sẽ thấy | Điều tuyệt vời nơi đây | Một người sẽ đến bên em lắng nghe | Ôm lấy nỗi đau vỗ về | Khâu lại những vết thương | ...  của em | And she never... | ... cries!",
gfEst1-InMg,TUỔI MỘNG XỨ ĐÔNG - HIỀN NGÂN (Nhạc hoa - lời việt: Minh Tâm) I Official 4K MV,Hiền Ngân Official,232,8413186,"tuổi mộng xứ đông hiền ngân, tuoi mong xu dong hien ngan, hiền ngân tuổi mộng xứ đông, tuổi mộng xứ đông hiền ngân bolero, hiền ngân bolero tuổi mộng xứ đông, hien ngan tuoi mong xu dong, tuoi mong xu dong hien ngan bolero, hien ngan bolero tuoi mong xu dong, hiền ngân, hiền ngân official",Không có lời bài hát (Sub),
BbdvPhw5EGQ,Mình Yêu Nhau Từ Kiếp Nào? | Ai Chết Giơ Tay OST | Dương Hoàng Yến [Video Lyric],Huỳnh Lập Official,302,8403703,"huỳnh lập, huynh lap, huỳnh lập official, AI CHẾT GIƠ TAY, ai chết, ai chet gio tay, giơ tay, huynh lap ai chet gio tay, ai chet, phim huỳnh lập, TÂM LINH, tam linh, phim tam linh, phim bat ma, phim ma huynh lap, PHIM MA, ai chet gio tay tap 8, phim ma kinh dị, tinh lam, ai chet gio tay tap cuoi, Ai Chết Giơ Tay OST, Mình Yêu Nhau Từ Kiếp Nào?, mình yêu nhau từ kiếm nào, minh yeu nhau tu kiep nao, kiep nao, minh yeu nhau, Dương Hoàng Yến, duong hoang yen",Không có lời bài hát (Sub),
