Video_ID,Raw_Title,Clean_Title,Uploader,Lyric
jVXysfw75Gg,Wxrdie - BĂNG QUA CẦU GIẤY (ft. ‪JasonDilla) [prod. by ‪Phongkhin],Băng Qua Cầu Giấy,Wxrdie,"2 Contributors
Băng Qua Cầu Giấy Lyrics
(PhongKhin on the beat, yeah yeah)
Yeah, yeah, yeah, yeah
(
Young Wxrdie lonely stonie boy, yeah
)
Băng qua Cầu Giấy anh còn chẳng nhận ra lối về
Homie rủ anh pull up qua chill làm vài khói đê
Có thể chỉ là vì muốn em vui nên trông anh mới giống hề
Nhưng mà riêng câu yêu em này anh sẽ nói khi anh không phê
Tít xa trên quốc lộ lao thật nhanh không đoái hoài
Vít ga hết tốc độ anh chẳng muốn phải ngoái lại
Từng câu em vừa nói khiến con tim này tái dại
Em nói rất dài nhưng vẫn chốt lại bằng câu ""bye bye""
Anh không cần nghe thêm, anh cũng không cần phải quan tâm
Anh có thể đợi em luôn từ nay đến sang năm
Ốm đau 1 chút thôi em cũng không cần phải sang thăm
Bapeboy Camo 10 GK như lang băm
Đừng lo Covid vì anh vẫn sẽ hút như nam châm
Anh chỉ lo anh sẽ vẫn cô đơn dù bao nhiêu gian truân
Đừng nhắn thêm tin nào cho anh Insta anh không dám nhận
Chẳng thể nói với em rằng Lonely Stonie này đang hâm
Phongkhin đi mấy nốt nhạc đưa anh ra khỏi chốn này
Tự hứa với bản thân rằng sẽ phải quên em trong 4 ngày
Anh sẽ phải đối mặt thôi anh không muốn phải trốn chạy
Đừng để anh thấy em với cả ai, baby anh không muốn vậy
Vùi mình trong studio ngập khói loa thật to anh không muốn dậy
Chỉ muốn ai đó đưa anh đi, một thiên thần nào đó có thể xuống đây
Cuốn thêm 1 cây nén phải thật chắc và điếu phải luôn đầy
Đôi ba lời ca về em anh ngân nga lúc cuối ngày

Băng qua Cầu Giấy anh còn chẳng nhận ra lối về
Homie bảo anh quên đi ngồi chill làm vài khói đê
Có thể chỉ là vì muốn em vui nên trông anh mới giống hề
Nhưng mà riêng câu yêu em này anh sẽ nói khi anh không phê
Tít xa trên quốc lộ lao thật nhanh không đoái hoài
Vít ga hết tốc độ anh chẳng muốn phải ngoái lại
Từng câu em vừa nói khiến con tim này tái dại
Em nói rất dài nhưng vẫn chốt lại bằng câu ""bye bye""
12 giờ đêm qua nghe tiếng kêu thất thanh
Trong cơn mộng du em nói rằng yêu nhất anh
12 giờ đêm nay đang trên xe rất lạnh
Vì biết chẳng đi về đâu, chuyện của ta bất thành
Em chỉ đến khi anh có rất nhiều
Không còn chi em bỏ đi rất nhanh
Anh đã biết em không phải miền đất lành
Xin thông báo là bây giờ em mất anh
Để anh cùng những giai điệu đang chắp cánh
Hoà vào những vì sao lấp lánh
Chúng ta chỉ đến đây coi như max cảnh
Không muốn nói bye nhưng mà thôi chắc đành
Không thể nói chi anh không biết phải nói gì
Cho vào vali xong rồi anh lại gói đi
Bao yêu thương nhưng sao đã vội quên
Để nỗi buồn đi cùng anh xa rời em

Băng qua Cầu Giấy anh còn chẳng nhận ra lối về
Homie rủ anh pull up qua chill làm vài khói đê
Có thể chỉ là vì muốn em vui nên trông anh mới giống hề
Nhưng mà riêng câu yêu em này anh sẽ nói khi anh không phê
Tít xa trên quốc lộ lao thật nhanh không đoái hoài
Vít ga hết tốc độ anh chẳng muốn phải ngoái lại
Từng câu em vừa nói khiến con tim này tái dại
Em nói rất dài nhưng vẫn chốt lại bằng câu ""bye bye"""
aJCniGObA4c,Pháp Kiều - 3 BÍCH ft. tlinh (prod.by KADO) | OFFICIAL MUSIC VIDEO,3 BÍCH,Pháp Kiều,"4 Contributors
3 Bích Lyrics
Brrr 
(Are you okay though?)
Oh, 23 ai lên cầm micro
Coi tao chơi đi như là psycho
Chưa 30 sao cưng lại say so?
The one and only nó lại viral
Is the game tao cân tất
Is the fame you want to suck
So loney khi ở trên mặt đất
Vì cầm chắc ba bích nhạc gang
Chị và tlinh đang ăn chia con ba bích
Ngồi lại và chào mừng chị Ngẫn Thị Đẹp Xinh
Đẹp mà còn xinh nên chị em không toan tính
Nếu muốn giật mình thì nhấp vào đường link
Star, star, I'm so hot
Ngước coi chị đi không cần mang cao gót
Dizzy khi cưng biết chị (Ah) money B-I-G
Ah, điện thoại của quản lý luôn trong trạng thái đang hoạt động, yeah
Gọi hỏi lịch trống, liên lạc inbox luôn tràn ngập, yeah
Pháp Kiều alo mình làm bài
Cứ từng một thứ mình hoàn thành
Một điều đã rõ rành rành
Thị trường chị em mình hoành hành
Nói cả em Kiều không phải lo, cứ ngẩng cao đầu
Vì ai chả muốn làm quen hoặc ghen với người duyên, xinh, giàu
Bé nhưng có cơ nên sao phải sợ
Có chí, có tâm, có trời bảo hộ
Có trước, có sau, có người cảm mộ
Sướng quá đi thôi, phải sao giờ?

Damn!
Nói về tao nhiều hơn đi tao rất thích, yeah
Tao là con người như nào ai chả biết yeah, yeah
Paint me how you like me, I'm that bad bitch
Yeah, I'm that bitch, ah yeah
Mm-mm, đang đi đâu, nhìn hai girl đang đi flow
Ah, ah, stop it, cầm ba bích nên tao muốn đi đầu
Mm-mm, đang đi đâu, nhìn hai girl đang đi flow
Ah, ah, stop it, cầm ba bích nên tao muốn đi đầu (Yeah)
Tất cả những gì tao làm, tao không muốn nói tùy cảm nhận ah
Tất cả những gì chưa cảm được, để một thời gian đi, hiểu dần dần ah, oh
Tất cả những sai lầm tao mắc (Yeah) chính xác là điều cần nhất (Yeah)
Tất cả những gì họ nói tao không thể nào làm được rồi nhìn tao làm này
Tao cứ win xong lại win, yeah
Vía ai gặp cũng xin, yeah
They all want me on their team, yeah
Vì tao khiến cho họ tự tin, oh
Young rich Vietnamese (Yeah)
Sống hiền lành, khép kín (Oh)
Có quá nhiều luồng thông tin ảo
Có mấy ai thật sự biết tao
Tao vẫn cứ thế thôi, nếu như mày có vấn đề thì đấy là cái vấn đề của mày
Và tao đã mất khá lâu để mà nhận ra tao không có cái trách nhiệm phải làm mày vừa ý
Ngứa ngáy chỗ nào tự xử lý
Ý kiến ý cò càng nhiều tao càng quy ra nhiều giá trị
Cực kỳ cảm kích quý vị đã mất công sân si

tlinh
]
Oh, tao có nhiều fan, tao là thằng Bờm (Hah-hah)
Lấy cái quạt more, nóng như là nồm
Đốt mày bằng flow chứ không đốt bằng cồn
Tao sợ thằn lằn chứ tao không sợ thằng -
Tao là nam but you call me ladies
Coi tụi bây khóc như mưa rồi cay khi (Hey, hеy)
Slay RV1 and slay RV3 (Ah, yeah)
Như một cơn sốt boom from city (Oh, yeah)
A bad bitch with a bad girl
Không ngoan, không nói với không eyеliner
Tụi tao phải nói là đáng chờ
Hai cơ hay ba bích không phải là ván cờ
Vì tụi tao đây không đi đấu
Qua trên thiên hà, nay ở trên sân khấu
Em đi đầu, chị cân tất
Không ai chặt, chị em cứ việc gang (Hah)
Damn!
Nói về tao nhiều nữa đi tao rất thích, yeah (Ooh yeah)
Tao là con người như nào ai chả biết, yeah (Ai chả biết, yeah)
Paint me how you like me, I'm that bad bitch
Yeah, I'm that bitch, ah yeah
Mm-mm, đang đi đâu, nhìn hai girl đang đi flow (Yeah-yeah-yeah)
Ah, ah, stop it, cầm ba bích nên tao muốn đi đầu (Huh)
Mm-mm, đang đi đâu, nhìn hai girl đang đi flow
Ah, ah, stop it, cầm ba bích nên tao muốn đi đầu

tlinh
]
Ah, like a star, chói như soi hai đèn pha (Yeah, yeah, yeah)
I'm the bar, đưa tay lên thì clap (Hey)
Tiếng vang nghe bang bang bang
In the club, chơi với DJ rất hợp
Cho mấy hater choáng ngợp
Is the star, is the, is the star
Ba bích với hai cơ"
774rPmeCdmA,"Có Người Bảo Tôi - Quỳnh Trang, Ngọc Phụng | Hát Trên Quê Hương 8",,Quang Lê Official,"19 người đóng góp
Bản dịch
tiếng Nhật
RADWIMPS - Nandemonaiya (Phiên bản phim) (La Mã) Lời bài hát
Futari no aida toorisugita kaze wa
Doko kara sabishisa wo hakondekita no
Naitari shita sono ato no sora wa
Yake ni sukitootteitari shitanda
Itsumo wa togatte tachichi no kotoba ga
Kyou wa atatakaku kanjimashita
Yasashisa mo egao mo yume no katarikata mo
Shiranakute zenbu kimi wo maneta yo
Mou sukoshi dake de ii ato sukoshi dake de ii
Mou sukoshi dake de ii kara
Mou sukoshi dake de ii ato sukoshi dake de ii
Mou sukoshi dake kuttsuiteiyou ka
Bokura taimufuraiyaa toki wo kakeagaru kuraima
Toki no kakurenbo hagurekko wa mou iya nanda
Ureshikute naku nowa kanashikute warau bây giờ
Kimi no kokoro ga kimi wo oikoshitanda yo
Hoshi ni made negatte te ni ireta omocha mo
Heya no sumikko ni ima korogatteru
Kanaetai yume mo kyou de hyakko dekita yo
Tatta hitotsu to itsuka koukanko shiyou
Itsumo wa shaberanai ano ko ni kyou wa
Houkago ""mata ashita"" to koe wo kaketa
Narenai koto mo tama ni nara ii ne
Toku ni anata ga tonari ni itara

Mou sukoshi dake de ii ato sukoshi dake de ii
Mou sukoshi dake de ii kara
Mou sukoshi dake de ii ato sukoshi dake de ii
Mou sukoshi dake kuttsuiteiyou yo
Bokura taimufuraiyaa kimi wo shitteitanda
Boku ga boku no namae wo oboeru yori zutto mae ni
Kimi no inai sekai ni mo
Nanika no imi wa kitto atte
Demo kimi no inai sekai nado
natsuyasumi no nai hachigatsu không bạn
Kimi no inai sekai nado
Warau koto nai santa no you
Kimi no inai sekai nado
Bokura taimufuraiyaa toki wo kakeagaru kuraimaa
Toki no kakurenbo hagurekko wa mou iya nanda
Nandemo nai ya yappari nandemo nai ya
Ima kara iku yo
Bokura taimufuraiyaa toki wo kakeagaru kuraimaa
Toki no kakurenbo hagurekko wa mou ii yo
Kimi wa hade na kuraiyaa sono namida tometemitai na
Dakedo kimi wa kobanda
Koboreru mama no namida wo mite wakatta
Ureshikute naku no wa kanashikute warau nowa
Boku no kokoro ga boku wo oikoshitanda yo"
IkSUYwMobk4,HẸN BÉ LẦN SAU - Mason Nguyễn cùng Tiêu Minh Phụng level up | Rap Việt 2024 [Performance],HẸN BÉ LẦN SAU,Vie Channel - MUSIC,"3 người đóng góp
Bản dịch
tiếng Đức
Tiếng Anh
Lời bài hát La Cucaracha
La Cucaracha, con gián
không thể đi bộ được nữa
Bởi vì anh ấy không có nó, bởi vì anh ấy thiếu nó
Cần sa để hút thuốc"
ppOmjlAL1iY,Về Quê - Anh Thơ [Audio],Về Quê,Anh Thơ Official,"17 người đóng góp
Bomber Về Lyrics
Đi bộ xung quanh
Đếm tốt
Quentin Q đây
Nhưng anh em của bạn bơm cái này cho tôi
Đi một chuyến đi mẹ'
Bạn là ai? Một nửa nếu
Quen phun vào mặt bạn
Tiếng lóng này (Swag)
phong cách Pa'
Tuổi tôi gấp đôi
tôi còn trẻ
Hãy làm ơn cho tôi khi trăng tròn
Khi trời tối
Phí này cảm nhận sao biết
Cảm nhận cách anh ấy làm điều đó
Hãy làm điều đó đi
Quentin ở ca'
Tôi làm tiếng lóng, swag âm tiết
Máy bay ném bom, Quentin Q đây
Homies in the ma'
Tum tum kiểm tra cái mũ'
Họ kiểm tra swag
Anh em của bạn đang ở phía sau tôi
Họ nói tiếng lóng, tiếng lóng của tôi
(Swag) (Swag)
Tiếng lóng của tôi (Swag)
Q40 Tiếng lóng của tôi (Swag)
Q40, Q quara'

Bạn gái của bạn làm
Băng đảng của bạn làm
Bạn làm điều đó trên sân khấu
Mitraglia đi rata-ta-ta-ta-ta-ta-ta
Đội của tôi chạy ngược lại, Traversò
Mút như thể bạn đã tuyệt vời trong một thời gian
Chạy vào'
Bạn thật ngoan đạo, Bò và Po'
Tôi chạy đi
Trong số này tôi bạn là một bo'
Máy bay ném bom thấy đấy, tôi sẽ đặt trà ở mức một trăm lẻ năm
Thỉnh thoảng, đầu của bạn Robespierre nổ tung
Tôi đang nói về bài rap này
Luôn ở trong bạn, leng keng
Bo-Bo-Bomber ve
Smetal trên đồng hồ tốc độ
Thật tự do, nếu tôi có nó
Cô ấy thọc lưỡi vào cặc tôi
Chết tôi đi, bạn làm gì với tôi 'cái này'
Tại đám tang của bạn, Carlo dùng ma túy với anh trai mình
Totti, giống như đồng đội của anh tôi
Trên fe, trong phòng riêng
Thôi nào, lũ khỉ say rượu
Nữ diễn viên ballet trong đôi tất vua
Nhảy vào đi'
Tôi sẽ về nhà fe (Pancarrè)
Chúng ta đừng làm điều này để làm hài lòng bạn

Bạn gái của bạn làm
Băng đảng của bạn làm
Bạn làm điều đó trên sân khấu
Mitraglia đi rata-ta-ta-ta-ta-ta-ta
Nói hay đừng trở thành kẻ khốn nạn
Bác sĩ gửi cho tôi nhé, cảm ơn
G.r.a. hai vòng hoàn chỉnh
Áo ngực của tôi với canno'
Quảng trường Thiên An Môn, hãy quan tâm đến tôi'
Mỗi lần chúng tôi bước vào một chút
Có vấn đề, bạn phải rời đi
Những đám mây fu, mọi thứ sẽ tô màu
Tôi không nói về bạn, bạn đang nói về tôi
Vượt qua nó
Tôi và phi hành đoàn của tôi đang đi lên
Tôi làm ratatatatatatatata
Nói hay nhé bạn không phải là kẻ đánh bom ở đó
Những người anh em của tôi, bobo viè, hay madò
Tôi đổ chuông khi nó không xuất hiện gì nhưng họ nói
Tôi gọi spe' người bảo vệ không nhận ra tôi'
Anh em tôi hay uống zubro ở đây
Trong khuôn mặt của bạn khuôn mặt này của tôi
Họ gọi tôi là Sfrè, Joe Sfrè
Họ gọi bạn là gì?"
s5GFw-7XPjo,"SOOBIN - Em Ơi, Anh Nhớ Nhà (Đi Để Trở Về 9) | Official MV","Em Ơi, Anh Nhớ Nhà",SOOBIN Official,"1 Contributor
Em Ơi, Anh Nhớ Nhà - Đi Để Trở Về 9 Lyrics
Dù trong mơ anh cũng chẳng thể dám tin một ngày mình đã tiến xa như này
Như cả thế giới gật đầu với anh dịu dàng, ôm đỡ bước chân anh đi
Để anh được thấy đất trời rộng lớn đến nhường nào (Khi bước đi, xa rất xa)
Để anh được nếm dư vị của nước mắt khác nhau (Dưới đáy sâu, trên nấc cao)
Cuối một năm, bước mình đi cứ chậm hơn
Trống lồng ngực cứ rộn lên
Một hôm không đoán trước anh ung dung nhận ra (Nhận ra)
Em ơi, anh thấy nhớ nhà
Ở đâu cảm giác reo vui trong tim nở hoa?
Bên trong giọng gọi, ""Con ơi về thôi đã có hết rồi
Biết bao năm trời đi tìm vẫn đây đấy thôi""
Bàn chân anh bước hiên ngang bôn ba đường xa
Đến cuối cũng để về nhà
Thanh xuân ta sống làm gì nếu không tự mình ngắm nghía thế gian lung linh?
Đôi chân anh vẫn bồi hồi vẫn luôn đòi đặt lên hết những nơi chưa đi
Để anh cảm thấy tâm hồn mình chứa chan hơn trong mỗi bước đi, trong nghĩ suy
Để anh được có can đảm, định nghĩa cuộc đời mình theo cách anh mong muốn thôi

Tết về nhanh, bước mình đi cứ chậm hơn
Trống lồng ngực, đang vang lên, ah-ah
Một hôm không đoán trước, anh ung dung nhận ra (Nhận ra)
Em ơi, anh thấy nhớ nhà
Càng đi, nỗi nhớ trong anh như càng nở ra
Yêu thương bình yên, chăn ấm cơm nóng đã sắp sẵn rồi
Những thứ quan trọng anh tìm vẫn chờ đấy thôi
Gặp được thế giới bao la để rồi nhận ra
Đến cuối cũng mong về nhà
Tết đã cũng sắp đến, nhắc anh một điều
Nhanh nhanh bắt xe lên chuyến đi của năm
Bao nhiêu năm trôi qua để anh mới hiểu
Hiểu rằng cuộc đời này đi để trở về
Một hôm không đoán trước anh ung dung nhận ra
Em ơi, anh thấy nhớ nhà
Ở đâu cảm giác reo vui trong tim nở hoa?
Bên trong giọng gọi, ""Con ơi về thôi đã có hết rồi
Biết bao năm trời đi tìm vẫn đây đấy thôi""
Bàn chân anh bước hiên ngang bôn ba đường xa
Đến cuối cũng để về nhà"
ZEdCtkdvxhk,KARIK X YUNO BIGBOI | BUỒN THÌ VUI LÊN (FT. HOÀNG DUYÊN) | OFFICIAL MUSIC VIDEO,Buồn Thì Vui Lên,KARIK,"1 Contributor
Buồn Thì Vui Lên Lyrics
Cuộc đời này buồn cười lắm lúc đang vui thử thách không đến
Đang điên đủ thứ trên đời đùng 1 cái lại gặp chuyện hên
Bình thường cầu trời khẩn Phật nguyên cả năm thì duyên không đến
Khi không đang “lón” đang “lì” sáng hôm sau có người kề bên
Bởi ta nói buồn vui sướng khổ tất cả đều do góc nhìn bản thân
Nghĩ lạc quan là nó sẽ vui, tiêu cực làm chi cho buồn càng gần
Gặp drama ăn miếng pizza mở bài nhạc hay vừa rap vừa ca
Bát cái phố nhè nhẹ rủ thêm bạn thân bé đời nó lại nở hoa
Đối diện mấy chuyện không vui thì không có gì phải quằn
Thi đua mà lỡ không may cũng không có gì phải căng
Đôi khi trong vài trường hợp không nhất thiết bản thân mình phải thắng
Nhưng có thực mới vực được đạo thấy đói là bé bự lại phải ăn
Buồn thì làm gì đây?
Buồn thì làm gì đây?
Buồn thì làm gì đây?
Để thôi buồn thêm
Buồn thì mình đi ăn
Buồn thì mình đi ăn
Buồn thì mình đi ăn
Món ngon thật ngon

Mà nhỡ có buồn thì cũng chẳng sao
Vì phải buồn ta mới quý thêm những lúc vui
Nên là...
Buồn thì mình vui lên
Buồn thì mình vui lên
Buồn thì mình vui lên
Chớ nên buồn thêm
Nhìn lại cuộc đời ta đang sống tươi đẹp ghê
Những lời miệng đời mang cay đắng thôi đừng nghe
Họ đâu hay vịt con xấu xí nay đã hoá thiên nga
Họ đâu thấy được con sâu bướm sẽ vỗ cánh bay xa
Wow
Phá bỏ đi lớp kén
Thoát khỏi màn đêm đen
Chạm tới nơi hướng đến
Tin vào bản thân, sao phải rén
Cứ bi quan chỉ thêm buồn chán giải quyết được gì đâu
Sau cơn mưa thì trời lại sáng chứ có mưa mãi đâu
Bạn chơi không vui kiếm đám khác vui hơn nè
Thất tình đau ơi là đau gặm miếng pizza khóc cho khoẻ
Cuộc đời xô ngã thật đau
Giả bộ hít đất làm gì nhau
Với thế giới mình chỉ là hạt đậu
Vẫn có nửa kia làm thế giới của nhau

Buồn thì làm gì đây?
Buồn thì làm gì đây?
Buồn thì làm gì đây?
Để thôi buồn thêm
Buồn thì mình đi ăn
Buồn thì mình đi ăn
Buồn thì mình đi ăn
Món ngon thật ngon
Mà nhỡ có buồn thì cũng chẳng sao
Vì phải buồn ta mới quý thêm những lúc vui
Nên là...
Buồn thì mình vui lên
Buồn thì mình vui lên
Buồn thì mình vui lên
Chớ nên buồn thêm
Chuyện nào rồi cũng sẽ qua thôi mà
Em đừng lo, anh đừng lo
Ngồi lại mình ăn tí cho vui lòng
Ông bà ta vẫn thường nói

""Có thực mới vực được đạo à nghen!""
Buồn thì làm gì đây?
Buồn thì làm gì đây?
Buồn thì làm gì đây?
Để thôi buồn thêm
Buồn thì mình đi ăn
Buồn thì mình đi ăn
Buồn thì mình đi ăn
Món ngon thật ngon
Mà nhỡ có buồn thì cũng chẳng sao
Vì phải buồn ta mới quý thêm những lúc vui
Nên là...
Buồn thì mình vui lên
Buồn thì mình vui lên
Buồn thì mình vui lên
Chớ nên buồn thêm
Nhớ nha!"
PUofnMN4v0k,Orange - 'Đừng Kết Thúc Hôm Nay' Official MV (Prod. by Madihu),Đừng Kết Thúc Hôm Nay,Orange Singer Official,"3 Contributors
Đừng kết thúc hôm nay Lyrics
Em à, trời tối nay lạnh lắm
Sao em không về nhà gieo mình vào chút yên ả?
Uống một chút trà
Nghe một vài lời ca
Em à, sao cứ đứng đây mãi
Hôm nay đã là ngày dài sao còn ôm những khắc khoải?
Kim đồng hồ cũng đã điểm mười hai
Nhặt trong mớ suy nghĩ rối bời
Em tìm ra cho mình câu trả lời
Rằng cuộc đời em đâu còn ý nghĩa
Nhưng em à có biết rằng ngoài kia
Ngọn nước xanh thoáng chốc êm đềm
Nhưng đâu đành giành lấy linh hồn em
Ngọn gió kia buốt da nhưng chỉ là
Muốn vỗ về lấy nỗi buồn em
Thế nên đừng kết thúc hôm nay
Xin em đừng kết thúc hôm nay
Chậm lại và hít sâu vào thật lâu
Ta đã đi được đoạn đường này đâu thể buông tay thật mau
Dòng thư viết vội cho người em bỏ lại đằng sau
Liệu có phải cách duy nhất để khiến em thôi khổ đau?

Đời đâu chỉ có những nỗi buồn
Sao nỡ quên những ngày dịu êm
Là những lúc em lơ thơ hát trên chuyến xe ngày mưa gió
Biết đâu em của ngày sau sẽ cảm ơn em thật nhiều
Vì hôm nay em đã biết cho mình được thấu hiểu
Ngọn nước xanh thoáng chốc êm đềm
Nhưng đâu đành giành lấy linh hồn em
Ngọn gió kia buốt da nhưng chỉ là
Muốn vỗ về lấy nỗi buồn em
Thế nên đừng kết thúc hôm nay
Xin em đừng kết thúc hôm nay
So don’t, don’t leave this world tonight
Please don’t leave this world tonight
We all leave this world one day
But please don’t leave this world tonight
Please don’t leave this world tonight
We all leave this world one day
But please don’t lеave this world tonight
Please don’t lеave this world tonight"
-dsIiSaPZZA,Anh Chưa Từng Hết Yêu / buitruonglinh,Anh Chưa Từng Hết Yêu,buitruonglinh,"2 Contributors
Anh Chưa Từng Hết Yêu Lyrics
Nét mực anh viết ra
Cũng đã cạn khô từng dòng nhớ thương
Anh ước cho ngày mà anh mất em chưa bao giờ đến
Mơ mộng dần vỡ tan
Giống như chuyện ta còn đang dở dang
Anh biết sẽ chẳng thể nào, gom lại thời gian lúc ban đầu
Ngàn lời yêu khi ấy tràn đầy trong mắt anh
Những hy vọng mong manh
Cùng nhau tới biển trời
Dẫu biết mai muôn trùng xa cách
Màn đêm đen dường như vây kín thêm
Mang niềm đau nén sâu trong dòng thư
Gửi lại em khi ngày đẹp nhất
Vì những năm tháng sau này
Giống như chưa từng yêu anh
Chắc em sẽ thôi đau buồn
Đóa hoa kia rực rỡ
Chẳng thể vượt qua bão giông
Chuyện mình rồi thì cũng sẽ như vậy
Này gió bay tới phương nào
Nhắn đôi lời dặn trời xanh
Hãy thay thế tôi yêu người
Mai rồi anh phải bỏ quên lại quá khứ
Quên rằng anh đã từng nói, hết yêu em

Dẫu ở muôn vàn lặng yên anh vẫn sẽ dõi theo
Muốn thấy khi em hạnh phúc
Lời chia tay mà anh chẳng thể muốn nói ra
Cắt sâu vào trong tim
Vụn vỡ đến tận cùng
Khiến em không bao giờ tha thứ
Vì em có cả tuổi xuân ngóng chờ
Sao mà anh nỡ thấy em nhạt nhòa
Cạnh bên anh khi ngày anh mất
Vì những năm tháng sau này
Giống như chưa từng yêu anh
Chắc em sẽ thôi đau buồn
Đóa hoa kia rực rỡ
Chẳng thể vượt qua bão giông
Chuyện mình rồi thì cũng sẽ như vậy
Này gió bay tới phương nào
Nhắn đôi lời dặn trời xanh
Hãy thay thế tôi yêu người
Mai rồi anh phải bỏ quên lại quá khứ
Quên rằng anh đã từng nói, hết yêu em
Chưa một lần anh từng thấy, hết yêu em"
NS-iWkxIbWI,Wxrdie - NHẠC TRAP CĂNG NHẤT 2023 (ft. JasonDilla & Right) [prod. JasonDilla],NHẠC TRAP CĂNG NHẤT 2023,Wxrdie,"4 Contributors
Nhạc Trap Căng Nhất 2023 Lyrics
Uống rượu hút c* khiến tao nghe và gật đến gãy cổ
Mấy thằng hater không làm gì ngoài gáy và nổ
Bố mày không làm gì, đừng có bám nữa, đến là khổ
Như kiểu ghệ mày nhắn tao suốt, tao chỉ việc đến và bổ
Tao giống như là tóc khi tao ở trên thì mấy thằng ngu lại hurt (Haha)
Mấy cái bài mày viết giống như chiều cao mày, quá là thấp
Nếu mày trong lớp học thì tao đánh giá là mày không lên được lớp (Không lên được)
Giống như nhà vệ sinh Ấn Độ, tao ỉa xuống chúng mày cứ việc đớp
Mấy thằng *** bêu rếu nói gì? Bảo bọn tao may hơn
Làm sao chúng mày thắng khi ngoài đường phố bảo nhạc bọn tao hay hơn (Lêu lêu)
Thứ tao nghe về bọn mày là lũ chó đàn vừa đen vừa bẩn
Làm sao chúng mày lên được nên phải bám để lên là chuẩn
Bọn tao làm nhạc hip-hop, còn mày vua nhạc TikTok
Âm thanh vẫn đang vang đều khi mà chúng mày hết mốt
Tao không cần nhắc tên, chúng mày vẫn bị headshot
Nhưng não mày khuyết sẵn rồi như logo của Steve Jobs
Đấm mấy thằng ngu si như kiểu tao là Luffy (Luffy)
Mấy con chó này biết nói chuyện à như là Scooby
Tao thích rap nhất về tiền sau đó đến lượt pussy (Puss, meow)
Fuck em ghệ chubby, em cho bố mày tu ti
Mấy thằng *** workin' with my opp đừng làm việc với tao
Vừa tiện thể lọc friend cho vừa đủ để vào bàn tiệc với tao
Giả vờ ngơ tội, ờ được thôi nhưng đừng mơ vội
Chúng mày phải bay sang vũ trụ khác thì mới có cơ hội (Bye-bye)

24k.Right
]
Chúng mày cần tao
Tao đâu cần chúng mày (Đâu cần chúng mày)
Chúng mày cần tao
Tao đâu cần chúng mày, bitch
Chúng mày cần tao
Tao đâu cần chúng mày
Chúng mày cần tao (
Ah-ah-ah-ah-ah
)
Tao đâu cần chúng mày
2k3 già rồi, giờ tao chỉ ký ngực 2k5
Thứ bảy em nhắn cho tao bảo là anh rảnh thì mai qua băm
Mua cho em quả Gucci, Gucci Quảng chỉ khoảng hai ba trăm
Em nhắn tin cho bạn em bảo là em yêu anh Right ga lăng
RhymeZone, khi bọn tao đóng quá tốc độ làm cây đổ
Vào cây xăng giờ tao không dám rap, nó có thể gây nổ
Một hai ba, dzô với mấy ông sếp làm bên label
Book quả villa sẵn loa đèn phía bên kia Tây Hồ
Đại diện Long Biên chỉ một thằng thôi trên hành tinh này
Nếu mày khinh tao thì chắc chắn cũng có nhiều thằng khinh mày
Đi qua Yên Phụ, liếc vào Hero, ơ kìa Linh này
Anh Việt nhìn tao, mặt kiểu đéo hiểu Linh nào
Lạy Chúa, gia đình và anh em, ba điều tao tin vào
Bảo với Zonny, khi gặp popo, ngoan và im nào
Bạn tao chuyển sang hút pod chill, gọi đấy là pin ảo
Anh Việt vẫn kiểu đéo hiểu đấy là Linh nào
Điện thoại xoay ngang thì nó biến thành casino
Bọn tao ăn nấm và khám phá cống như là Mario
Chúng nó thông chốt và chạy động như tập cardio
Luật của RhymeZone, phản bội anh em hút đủ ba bi tô

Hút đủ ba bi tô xong bắt đá bóng, như Chicharito
Mấy thằng tier dưới rap tao chả hiểu gì, nghe bibabibo
Mua cho ghệ tiramisu, bảo Jason gọi pizza đi bro
Fuck the lean, tao không muốn sỏi thận, bố mày đi pha Milo
Bé thích nghe nhạc trap, ngắm tao rap, việc này tốt cho niêm mạc
Nhét tiền vào mồm mấy con báo, hết cả láo, hết cả xuyên tạc
Cầu cho mấy thằng bạn tao sẽ ễnh ang, dù là đang ở thiên đàng
Vì cuộc sống ở đây kiểu khác, tất cả không phải như bộ phim Hàn
Không cần mánh khóe, cũng không cần phải tránh né
Không cần phải hỏi tại sao con flow của tao sóng sánh thế
Tại sao cổ tao, tay tao, răng tao, tai tao lóng lánh thế
Tại sao mà ăn tao không hề giòn, tao đâu phải bánh quế
Rap đến khi viêm họng
Mười lăm bài một album, polime phải nguyên cọc
Smoke a lot of K, giờ mắt tao như hai viên ngọc
Nhìn anh siêu độc, baby muốn được tiêm nọc
Cùng với dáng vẻ mạnh mẽ, tắm rửa thơm tho sạch sẽ
Đứng bên cạnh bé, trông phải thật là bảnh zé
Có mấy gơn chạy ra bảo anh ơi làm kiểu ảnh nhé
Nhưng mà giờ anh đang không rảnh, gơn bảo anh chảnh thế
Các bé cần anh
Anh không cần các bé (Anh không cần)
Các bé cần anh
Anh không cần các bé (Anh không cần)
Các bé cần anh
Anh không cần các bé
Các bé cần anh
Anh không cần"
